term	Df	SumOfSqs	F	parOmegaSq	Pr(>F)	R2	test_var	ref_level	test_level	n	outcome_subset	dataset
Total_Reads_QC_ATLAS	1	0.29549753786700705	0.98555622844246	-4.6445152413863445e-5	0.478	0.00316032304823832	final_result	1. Negative	5b. >= 3 Non-advanced adenomas	311	all	mags
final_result	1	0.4960281902411623	1.720132906260112	0.00153966625679643	0.001	0.00365541540247026	final_result	1. Negative	5c. Advanced adenoma	467	all	mags
kjonn	1	0.4401151818545941	1.5262370602055295	0.00112557760076631	0.007	0.00324337174028376	final_result	1. Negative	5c. Advanced adenoma	467	all	mags
age_invitation	2	0.9629776441221908	1.6697130992112323	0.00285994755832276	0.001	0.0070965388294713	final_result	1. Negative	5c. Advanced adenoma	467	all	mags
senter	1	0.6533327601083556	2.2656357068208974	0.00270281568902764	0.001	0.0048146510243246	final_result	1. Negative	5c. Advanced adenoma	467	all	mags
Total_Reads_QC_ATLAS	1	0.4291709349057839	1.4882844605725682	0.00104448491396098	0.02	0.00316271953209844	final_result	1. Negative	5c. Advanced adenoma	467	all	mags
final_result	1	0.371094206176835	1.2314792103810015	9.362853432755024e-4	0.1	0.0049792978497213	final_result	1. Negative	5d. Advanced serrated	247	all	mags
kjonn	1	0.4468906106439477	1.4830102091657134	0.00195169037566452	0.022	0.00599632497517271	final_result	1. Negative	5d. Advanced serrated	247	all	mags
age_invitation	2	0.6180691951438604	1.0255338829433005	2.0670935101966105e-4	0.381	0.0082931788293463	final_result	1. Negative	5d. Advanced serrated	247	all	mags
senter	1	0.421352075442968	1.3982603676427146	0.00160979453554315	0.035	0.00565365195227277	final_result	1. Negative	5d. Advanced serrated	247	all	mags
Total_Reads_QC_ATLAS	1	0.2899362602642981	0.9621558917062576	-1.5323849177255018e-4	0.531	0.00389033019988005	final_result	1. Negative	5d. Advanced serrated	247	all	mags
final_result	1	0.3678376544457507	1.214579071532497	9.12269436611919e-4	0.12	0.00515228183139159	final_result	1. Negative	6. Cancer	235	all	mags
kjonn	1	0.6035569588456582	1.992910844857105	0.0042073757271033	0.002	0.00845398918703977	final_result	1. Negative	6. Cancer	235	all	mags
age_invitation	2	0.5707844761164722	0.9423489828567168	-4.908878070183911e-4	0.689	0.00799494682067409	final_result	1. Negative	6. Cancer	235	all	mags
senter	1	0.3823679325421381	1.262557225661418	0.00111601790254101	0.073	0.00535580663896978	final_result	1. Negative	6. Cancer	235	all	mags
Total_Reads_QC_ATLAS	1	0.34982309256226074	1.1550960099642558	6.595477308205298e-4	0.191	0.00489995285209599	final_result	1. Negative	6. Cancer	235	all	mags
detect_worthy_lesions	1	0.5697783029724519	1.950284846773694	9.181937148936436e-4	0.001	0.00187579408909775	detect_worthy_lesions	negative	positive	1034	all	mags
kjonn	1	0.7235131064820166	2.4765011946800333	0.00142591472908996	0.001	0.0023819117039796	detect_worthy_lesions	negative	positive	1034	all	mags
age_invitation	2	1.0223938065371954	1.7497675305663345	0.00144812721817797	0.001	0.00336587098706239	detect_worthy_lesions	negative	positive	1034	all	mags
senter	1	0.7491459549976867	2.564239453190333	0.00151051899398949	0.001	0.00246629881644351	detect_worthy_lesions	negative	positive	1034	all	mags
Total_Reads_QC_ATLAS	1	0.547689720932226	1.8746782000919353	8.452020505644425e-4	0.001	0.00180307522386288	detect_worthy_lesions	negative	positive	1034	all	mags
final_result_cat_neg	1	0.34261873873904847	1.1467925233263834	2.4789887436669827e-4	0.199	0.00192850802018501	final_result_cat_neg	Negative	>= 3 Non-advanced adenomas	592	all	mags
kjonn	1	0.6686856525485609	2.2381837888393226	0.00208716131677735	0.001	0.00376385030389342	final_result_cat_neg	Negative	>= 3 Non-advanced adenomas	592	all	mags
age_invitation	2	0.7997716414111267	1.3384734035771797	0.00114218514960161	0.012	0.00450169780688095	final_result_cat_neg	Negative	>= 3 Non-advanced adenomas	592	all	mags
senter	1	0.6144419647851294	2.056622629068278	0.0017816555599433	0.001	0.00345852728717465	final_result_cat_neg	Negative	>= 3 Non-advanced adenomas	592	all	mags
Total_Reads_QC_ATLAS	1	0.4075627959340693	1.3641693063354872	6.147726773581411e-4	0.035	0.0022940605163062	final_result_cat_neg	Negative	>= 3 Non-advanced adenomas	592	all	mags
final_result_cat_neg	1	0.3596186600555029	1.2019339471239938	3.823044448455363e-4	0.118	0.0022661327772387	final_result_cat_neg	Negative	Advanced serrated	528	all	mags
kjonn	1	0.6022609692400351	2.012904179793328	0.00191470599637599	0.001	0.00379514044859562	final_result_cat_neg	Negative	Advanced serrated	528	all	mags
age_invitation	2	0.7741275511013725	1.293662268427756	0.00111112111394294	0.02	0.00487815570260898	final_result_cat_neg	Negative	Advanced serrated	528	all	mags
senter	1	0.5504634922318417	1.8397842811153404	0.001587974857559	0.001	0.00346873925348405	final_result_cat_neg	Negative	Advanced serrated	528	all	mags
Total_Reads_QC_ATLAS	1	0.4556116257651297	1.5227660311813196	9.89107877238495e-4	0.013	0.00287103132712308	final_result_cat_neg	Negative	Advanced serrated	528	all	mags
final_result_cat_neg	1	0.5097664153051653	1.7451519892869292	9.952010871885962e-4	0.005	0.00231788551133173	final_result_cat_neg	Negative	Advanced adenoma	748	all	mags
kjonn	1	0.5926511105724046	2.028902323722894	0.00137364836060519	0.001	0.00269475858202249	final_result_cat_neg	Negative	Advanced adenoma	748	all	mags
age_invitation	2	0.9243043890293166	1.582147817893729	0.00155412590078036	0.001	0.00420277147938207	final_result_cat_neg	Negative	Advanced adenoma	748	all	mags
senter	1	0.7395270508892224	2.5317225012130873	0.00204357261371363	0.001	0.00336259703469846	final_result_cat_neg	Negative	Advanced adenoma	748	all	mags
Total_Reads_QC_ATLAS	1	0.5713806237916685	1.9560842031013512	0.00127655575976612	0.001	0.00259804261241801	final_result_cat_neg	Negative	Advanced adenoma	748	all	mags
final_result_cat_neg	1	0.38150478378935304	1.2717984361256114	5.264638451082061e-4	0.083	0.00245211002933904	final_result_cat_neg	Negative	Cancer	516	all	mags
kjonn	1	0.6492598529133033	2.1643966226913873	0.00225150190209419	0.001	0.00417309733619213	final_result_cat_neg	Negative	Cancer	516	all	mags
age_invitation	2	0.7785462021327021	1.297695185482413	0.00115252745584369	0.012	0.00500408128986272	final_result_cat_neg	Negative	Cancer	516	all	mags
senter	1	0.5172616121460294	1.7243624126044104	0.0014018352245331201	0.001	0.00332468278467432	final_result_cat_neg	Negative	Cancer	516	all	mags
Total_Reads_QC_ATLAS	1	0.4944115605768218	1.6481886368460608	0.00125460352151098	0.006	0.00317781479505901	final_result_cat_neg	Negative	Cancer	516	all	mags
kjonn	1	0.7804739936587453	2.669004453035009	0.00161152303087071	0.001	0.00256943533364129	kjonn	Female	Male	1034	all	mags
age_invitation	2	1.0011394181385072	1.7118094816935567	0.00137491451548339	0.001	0.0032958984101537	kjonn	Female	Male	1034	all	mags
senter	1	0.7804124193822304	2.668793886098064	0.0016113200435791	0.001	0.00256923262205448	kjonn	Female	Male	1034	all	mags
Total_Reads_QC_ATLAS	1	0.5485904715009724	1.8760271619875064	8.465044498034189e-4	0.001	0.00180604062739578	kjonn	Female	Male	1034	all	mags
kjonn	1	0.5831590253955881	1.9385969051151817	0.00208142951514234	0.001	0.00428884486329218	kjonn	Female	Male	450	negative	mags
age_invitation	2	0.7476325019596572	1.24267823299085	0.00107740786468461	0.041	0.00549846555746065	kjonn	Female	Male	450	negative	mags
senter	1	0.5798109227650627	1.9274667997495971	0.00205679819491118	0.001	0.00426422123209834	kjonn	Female	Male	450	negative	mags
Total_Reads_QC_ATLAS	1	0.4682787921449574	1.5567002783974366	0.00123558317533276	0.008	0.00344395783108592	kjonn	Female	Male	450	negative	mags
kjonn	1	0.42197560474872375	1.4792628037606192	8.199825627030539e-4	0.01	0.00252465268722357	kjonn	Female	Male	584	positive	mags
age_invitation	2	0.9713373963635376	1.7025430666754824	0.00240019461161787	0.001	0.00581144867222889	kjonn	Female	Male	584	positive	mags
senter	1	0.5020893299935096	1.760106654664937	0.00129986065399263	0.003	0.0030039679117214	kjonn	Female	Male	584	positive	mags
Total_Reads_QC_ATLAS	1	0.3621850560110431	1.269663163950269	4.615388765693953e-4	0.075	0.00216692971024948	kjonn	Female	Male	584	positive	mags
age_invitation	1	0.3319433742021545	1.143562506013576	2.071179965872229e-4	0.185	0.00164407143163268	age_invitation	low	mid	693	all	mags
kjonn	1	0.657460484600108	2.2649861928448147	0.00182205097189424	0.001	0.00325631443241322	age_invitation	low	mid	693	all	mags
senter	1	0.7288459976801107	2.5109130664480146	0.00217550658747309	0.001	0.00360987739467859	age_invitation	low	mid	693	all	mags
Total_Reads_QC_ATLAS	1	0.46739444372150274	1.610198614880242	8.797428528282763e-4	0.004	0.00231494258342508	age_invitation	low	mid	693	all	mags
age_invitation	1	0.6349220045333936	2.1613790082299627	0.00168765502345355	0.001	0.00313422200037113	age_invitation	low	high	687	all	mags
kjonn	1	0.5936046877898207	2.020728061423393	0.00148357167130619	0.001	0.0029302636524018	age_invitation	low	high	687	all	mags
senter	1	0.5339030189103653	1.8174937539793137	0.0011885329486425	0.002	0.00263555299073813	age_invitation	low	high	687	all	mags
Total_Reads_QC_ATLAS	1	0.4479956748610334	1.5250510149416727	7.636827402384527e-4	0.011	0.00221148092237322	age_invitation	low	high	687	all	mags
age_invitation	1	0.37831738023845674	1.2626576422861897	8.050496620859601e-4	0.081	0.00385593043684092	age_invitation	low	mid	326	negative	mags
kjonn	1	0.5618440683194876	1.8751893084838285	0.00267744184052427	0.002	0.00572649250855492	age_invitation	low	mid	326	negative	mags
senter	1	0.5438068723767344	1.8149890520531675	0.00249373217066051	0.001	0.00554265170064097	age_invitation	low	mid	326	negative	mags
Total_Reads_QC_ATLAS	1	0.4347249027132421	1.4509212353844634	0.00138128339071014	0.019	0.00443085375292072	age_invitation	low	mid	326	negative	mags
age_invitation	1	0.3912355255664437	1.2859013192947648	9.457977300528372e-4	0.068	0.00424705849391102	age_invitation	low	high	302	negative	mags
kjonn	1	0.45730713903975584	1.5030635384216084	0.00166300311982696	0.007	0.00496429910441529	age_invitation	low	high	302	negative	mags
senter	1	0.4335058219795655	1.424834075582468	0.0014047592251511	0.014	0.00470592383125881	age_invitation	low	high	302	negative	mags
Total_Reads_QC_ATLAS	1	0.4520901379262483	1.4859164539258722	0.00160641017480192	0.01	0.00490766593221094	age_invitation	low	high	302	negative	mags
age_invitation	1	0.3023452615606317	1.0772061061083047	2.1032661473942675e-4	0.311	0.00292992133093523	age_invitation	low	mid	367	positive	mags
kjonn	1	0.43102233150041513	1.5356612005912826	0.00145744007218644	0.008	0.00417688544763005	age_invitation	low	mid	367	positive	mags
senter	1	0.486779429802084	1.7343145098557111	0.00199686154074161	0.008	0.00471720782881066	age_invitation	low	mid	367	positive	mags
Total_Reads_QC_ATLAS	1	0.36944064178193514	1.3162558365157797	8.609905809791815e-4	0.066	0.00358011900462421	age_invitation	low	mid	367	positive	mags
age_invitation	1	0.6790902163197075	2.3857315933925167	0.00358639432071671	0.001	0.00617944182551507	age_invitation	low	high	385	positive	mags
kjonn	1	0.3720242796503044	1.3069693188643672	7.966876887978945e-4	0.049	0.00338526802261558	age_invitation	low	high	385	positive	mags
senter	1	0.3767893904635145	1.3237097682772616	8.400982344738961e-4	0.06	0.00342862857229622	age_invitation	low	high	385	positive	mags
Total_Reads_QC_ATLAS	1	0.2909464986964849	1.0221326080780335	5.748398911021325e-5	0.395	0.00264749354331119	age_invitation	low	high	385	positive	mags
senter	1	0.7804124193822304	2.668793886098064	0.0016113200435791	0.001	0.00256923262205448	senter	Moss	Bærum	1034	all	mags
kjonn	1	0.7804739936587453	2.669004453035009	0.00161152303087071	0.001	0.00256943533364129	senter	Moss	Bærum	1034	all	mags
age_invitation	2	1.0011394181385072	1.7118094816935567	0.00137491451548339	0.001	0.0032958984101537	senter	Moss	Bærum	1034	all	mags
Total_Reads_QC_ATLAS	1	0.5485904715009724	1.8760271619875064	8.465044498034189e-4	0.002	0.00180604062739578	senter	Moss	Bærum	1034	all	mags
senter	1	0.5798109227650627	1.9274667997495971	0.00205679819491118	0.001	0.00426422123209834	senter	Moss	Bærum	450	negative	mags
kjonn	1	0.5831590253955881	1.9385969051151817	0.00208142951514234	0.001	0.00428884486329218	senter	Moss	Bærum	450	negative	mags
age_invitation	2	0.7476325019596572	1.24267823299085	0.00107740786468461	0.04	0.00549846555746065	senter	Moss	Bærum	450	negative	mags
Total_Reads_QC_ATLAS	1	0.46827879214492896	1.556700278397342	0.00123558317533255	0.009	0.00344395783108571	senter	Moss	Bærum	450	negative	mags
senter	1	0.5020893299935096	1.760106654664937	0.00129986065399263	0.002	0.0030039679117214	senter	Moss	Bærum	584	positive	mags
kjonn	1	0.42197560474872375	1.4792628037606192	8.199825627030539e-4	0.013	0.00252465268722357	senter	Moss	Bærum	584	positive	mags
age_invitation	2	0.9713373963635376	1.7025430666754824	0.00240019461161787	0.001	0.00581144867222889	senter	Moss	Bærum	584	positive	mags
Total_Reads_QC_ATLAS	1	0.3621850560110431	1.269663163950269	4.615388765693953e-4	0.076	0.00216692971024948	senter	Moss	Bærum	584	positive	mags
fobt_verdi	1	0.30805773974503836	1.0543704608267028	7.879156071483696e-5	0.335	0.00152109662631961	fobt_verdi	low	mid	690	all	mags
kjonn	1	0.6552298589525662	2.242615325630233	0.00179765439525869	0.002	0.00323532831456047	fobt_verdi	low	mid	690	all	mags
age_invitation	2	0.9213213456547747	1.5766752242477111	0.0016687330644451	0.001	0.00454920818347755	fobt_verdi	low	mid	690	all	mags
senter	1	0.6131120479620051	2.0984612595130057	0.00158944249059834	0.001	0.00302736320951642	fobt_verdi	low	mid	690	all	mags
Total_Reads_QC_ATLAS	1	0.44700825466784977	1.529947924235109	7.674510364512893e-4	0.009	0.00220719254992598	fobt_verdi	low	mid	690	all	mags
fobt_verdi	1	0.2903739841118522	0.9924689936814068	-1.0867371083453902e-5	0.485	0.00142547228139949	fobt_verdi	low	high	693	all	mags
kjonn	1	0.6919103490692464	2.3648797944446316	0.00196565211484872	0.001	0.00339665079441736	fobt_verdi	low	high	693	all	mags
age_invitation	2	0.7649214086426639	1.307212116476178	8.858296648484915e-4	0.023	0.00375506872216609	fobt_verdi	low	high	693	all	mags
senter	1	0.6209047115476665	2.1221896862646794	0.00161670337433225	0.001	0.0030480776658029	fobt_verdi	low	high	693	all	mags
Total_Reads_QC_ATLAS	1	0.5871555144831291	2.006838334280975	0.00145076140272268	0.001	0.00288239978979713	fobt_verdi	low	high	693	all	mags
fobt_verdi	1	0.2529702926186701	0.8439746487333153	-4.832840737896574e-4	0.804	0.0026085935642288	fobt_verdi	low	mid	323	negative	mags
kjonn	1	0.4627271415316727	1.5437780171375826	0.00168069378576885	0.012	0.00477157626256556	fobt_verdi	low	mid	323	negative	mags
age_invitation	2	0.6765565741161765	1.1285842916121402	7.955541538379564e-4	0.156	0.00697655486265541	fobt_verdi	low	mid	323	negative	mags
senter	1	0.3940762259882007	1.314740718997753	9.734808821206922e-4	0.054	0.00406365781644562	fobt_verdi	low	mid	323	negative	mags
Total_Reads_QC_ATLAS	1	0.4461466611911504	1.488461225089135	0.00150998036603616	0.014	0.00460060071496122	fobt_verdi	low	mid	323	negative	mags
fobt_verdi	1	0.2909985426926198	0.9646328196846812	-1.1559238069245036e-4	0.537	0.00314081277150463	fobt_verdi	low	high	306	negative	mags
kjonn	1	0.5116636932672094	1.696117054744081	0.00226972894677967	0.005	0.00552250141069052	fobt_verdi	low	high	306	negative	mags
age_invitation	2	0.5914479768188272	0.9802972281173812	-1.2879287228236244e-4	0.518	0.00638363114153238	fobt_verdi	low	high	306	negative	mags
senter	1	0.623465718025912	2.0667302591660803	0.00347393629477786	0.002	0.00672920582918353	fobt_verdi	low	high	306	negative	mags
Total_Reads_QC_ATLAS	1	0.4021609009327136	1.3331255897162058	0.00108746185733231	0.055	0.00434061312528116	fobt_verdi	low	high	306	negative	mags
fobt_verdi	1	0.317782454357328	1.1139700251446738	3.104486193670802e-4	0.219	0.0030238685460629	fobt_verdi	low	mid	367	positive	mags
kjonn	1	0.4101837970648745	1.437878172520192	0.00119170667623602	0.014	0.00390311631445338	fobt_verdi	low	mid	367	positive	mags
age_invitation	2	0.8763491859212564	1.535998465759387	0.00291246533410751	0.002	0.0083389271570525	fobt_verdi	low	mid	367	positive	mags
senter	1	0.4812981343400651	1.6871658188214989	0.00186888714837575	0.005	0.00457980693947686	fobt_verdi	low	mid	367	positive	mags
Total_Reads_QC_ATLAS	1	0.2950783192952571	1.0343818491481975	9.367473688698884e-5	0.399	0.00280782666288655	fobt_verdi	low	mid	367	positive	mags
fobt_verdi	1	0.3052538354878891	1.070734966167708	1.827442887768066e-4	0.319	0.0027611078778364	fobt_verdi	low	high	387	positive	mags
kjonn	1	0.3920713896073949	1.3752637879737826	9.687345141872036e-4	0.036	0.00354639738036049	fobt_verdi	low	high	387	positive	mags
age_invitation	2	0.7714237799413155	1.352956652610514	0.0018207442316344	0.008	0.00697774778993991	fobt_verdi	low	high	387	positive	mags
senter	1	0.31374443565989907	1.1005173355632971	2.5966727261219914e-4	0.245	0.00283790777450281	fobt_verdi	low	high	387	positive	mags
Total_Reads_QC_ATLAS	1	0.4145317648283253	1.4540477582516964	0.00117187511881407	0.022	0.003749557870916	fobt_verdi	low	high	387	positive	mags
runde	1	0.30066870930801315	1.0252089487866185	3.2401197926065644e-5	0.368	0.00131243426198993	runde	2nd round	3rd round	778	all	mags
kjonn	1	0.6199525115881954	2.113890947168205	0.00142968949740332	0.001	0.00270612435490099	runde	2nd round	3rd round	778	all	mags
age_invitation	2	0.767675565367	1.308795752624897	7.931897660517087e-4	0.019	0.00335094302429726	runde	2nd round	3rd round	778	all	mags
senter	1	0.7598457450022806	2.59089367585552	0.0020406776025234	0.001	0.00331676545877827	runde	2nd round	3rd round	778	all	mags
Total_Reads_QC_ATLAS	1	0.4741031107409413	1.6165791009574542	7.9189053702067e-4	0.003	0.0020694842761805	runde	2nd round	3rd round	778	all	mags
runde	1	0.3788966541766001	1.3050245606264523	5.762736918653885e-4	0.05	0.00245501760102372	runde	2nd round	4th round	529	all	mags
kjonn	1	0.5849034608539512	2.014568810771409	0.00191422815612005	0.001	0.00378981517906689	runde	2nd round	4th round	529	all	mags
age_invitation	2	0.92055383675455	1.585320631762119	0.00220804618817503	0.001	0.00596462345869378	runde	2nd round	4th round	529	all	mags
senter	1	0.39526435900725687	1.361399449582678	6.827083537984685e-4	0.042	0.00256107027529435	runde	2nd round	4th round	529	all	mags
Total_Reads_QC_ATLAS	1	0.45912106484249193	1.581339553452898	0.00109773421008959	0.01	0.00297482250836587	runde	2nd round	4th round	529	all	mags
runde	1	0.33704215773731505	1.1090175279510317	3.1589301471150993e-4	0.218	0.00319724745646838	runde	2nd round	3rd round	345	negative	mags
kjonn	1	0.5574278052875599	1.8341836249250192	0.00241209129815152	0.001	0.00528786856987026	runde	2nd round	3rd round	345	negative	mags
age_invitation	2	0.7181093030115591	1.181448352590383	0.00105076923040332	0.089	0.00681212450671952	runde	2nd round	3rd round	345	negative	mags
senter	1	0.530855062224262	1.746747566418936	0.00215981082013066	0.001	0.00503579436128792	runde	2nd round	3rd round	345	negative	mags
Total_Reads_QC_ATLAS	1	0.5025368595536719	1.653568175055583	0.00189081853980626	0.005	0.00476716238341272	runde	2nd round	3rd round	345	negative	mags
runde	1	0.3125348864921733	1.0507983816762798	2.2275029088589907e-4	0.337	0.00459693095441741	runde	2nd round	4th round	228	negative	mags
kjonn	1	0.4586851986494054	1.5421819619862769	0.00237234963511663	0.006	0.00674658823426215	runde	2nd round	4th round	228	negative	mags
age_invitation	2	0.6525413089883045	1.0969804989738372	8.499830455610476e-4	0.213	0.00959792801370837	runde	2nd round	4th round	228	negative	mags
senter	1	0.4665402039687194	1.568591899674307	0.00248762043353655	0.006	0.00686212387095458	runde	2nd round	4th round	228	negative	mags
Total_Reads_QC_ATLAS	1	0.37186404404674533	1.2502736576823796	0.00109648787566286	0.085	0.00546957606589027	runde	2nd round	4th round	228	negative	mags
runde	1	0.2489998820120007	0.8771866221670452	-2.837141379320395e-4	0.725	0.00202446320421849	runde	2nd round	3rd round	433	positive	mags
kjonn	1	0.32212130650718507	1.1347816653561904	3.1117719255417355e-4	0.21	0.00261896803745133	runde	2nd round	3rd round	433	positive	mags
age_invitation	2	0.7175341765454135	1.2638788732095636	0.00121735629838914	0.036	0.00583382420283796	runde	2nd round	3rd round	433	positive	mags
senter	1	0.46751124498645424	1.6469670848880682	0.0014919211570582	0.004	0.00380104321891943	runde	2nd round	3rd round	433	positive	mags
Total_Reads_QC_ATLAS	1	0.2981726497739743	1.0504143912213748	1.1641691023953154e-4	0.342	0.00242425640162611	runde	2nd round	3rd round	433	positive	mags
runde	1	0.37587302522996424	1.321954447440212	0.00106847324825901	0.057	0.0043773551002954	runde	2nd round	4th round	301	positive	mags
kjonn	1	0.3232890761149889	1.1370154368421994	4.549936733730288e-4	0.189	0.00376497112378821	runde	2nd round	4th round	301	positive	mags
age_invitation	2	0.8784024262721601	1.5446812036356057	0.00360609323873693	0.002	0.01022972941035559	runde	2nd round	4th round	301	positive	mags
senter	1	0.268743112481431	0.945175974110928	-1.821728017789801e-4	0.579	0.00312973785062156	runde	2nd round	4th round	301	positive	mags
Total_Reads_QC_ATLAS	1	0.35636877805782774	1.2533575422023215	8.41011513595592e-4	0.092	0.00415021186280412	runde	2nd round	4th round	301	positive	mags
colo_hemorrhoids	1	0.3070435716474549	1.0500549274287705	4.8406677404299494e-5	0.361	0.00101083265857458	colo_hemorrhoids	No	Yes	1034	all	mags
kjonn	1	0.7726464449360151	2.6423650634084517	0.00158584190721851	0.001	0.00254366589042167	colo_hemorrhoids	No	Yes	1034	all	mags
age_invitation	2	0.9960632057949396	1.7032127910438593	0.001358331904592	0.001	0.00327918677150513	colo_hemorrhoids	No	Yes	1034	all	mags
senter	1	0.7645950780511725	2.6148302825152925	0.00155929621254532	0.001	0.00251715960484892	colo_hemorrhoids	No	Yes	1034	all	mags
Total_Reads_QC_ATLAS	1	0.5515855784672112	1.8863614419948556	8.564819046989981e-4	0.001	0.0018159009606415	colo_hemorrhoids	No	Yes	1034	all	mags
colo_hemorrhoids	1	0.34855669416023716	1.1591230933830428	3.5348188056167306e-4	0.179	0.00256346128965622	colo_hemorrhoids	No	Yes	450	negative	mags
kjonn	1	0.5805556738517623	1.9306342406574817	0.00206380797841472	0.001	0.00426969850627832	colo_hemorrhoids	No	Yes	450	negative	mags
age_invitation	2	0.751296527493281	1.2492159375880592	0.00110640091043474	0.049	0.00552541264462644	colo_hemorrhoids	No	Yes	450	negative	mags
senter	1	0.6228336417549372	2.071229356915236	0.00237485631358592	0.001	0.0045806319525179	colo_hemorrhoids	No	Yes	450	negative	mags
Total_Reads_QC_ATLAS	1	0.4689819342162025	1.559596471498384	0.0012420032241701	0.01	0.00344912909163252	colo_hemorrhoids	No	Yes	450	negative	mags
colo_hemorrhoids	1	0.3736441834089419	1.3105376013215335	5.314598682343386e-4	0.063	0.00223548892659462	colo_hemorrhoids	No	Yes	584	positive	mags
kjonn	1	0.4272291697751882	1.4984841628297811	8.528408136827833e-4	0.018	0.00255608442619688	colo_hemorrhoids	No	Yes	584	positive	mags
age_invitation	2	0.9882699531727042	1.7331528114162862	0.00250450898497511	0.001	0.00591275506190818	colo_hemorrhoids	No	Yes	584	positive	mags
senter	1	0.4688615745335767	1.6445076640429408	0.00110239240357885	0.005	0.00280516840490564	colo_hemorrhoids	No	Yes	584	positive	mags
Total_Reads_QC_ATLAS	1	0.3717808176899098	1.3040019426702325	5.202804390514168e-4	0.047	0.00222434053029661	colo_hemorrhoids	No	Yes	584	positive	mags
colo_diverticulitis	1	0.5543296845480654	1.8973083332907863	8.670506011228376e-4	0.001	0.00182493496200566	colo_diverticulitis	No	Yes	1034	all	mags
kjonn	1	0.7914278332184495	2.7088259298035733	0.00164990959526629	0.001	0.00260549698672957	colo_diverticulitis	No	Yes	1034	all	mags
age_invitation	2	0.9758798439505084	1.6700755992594387	0.00129440667105154	0.001	0.00321274017175151	colo_diverticulitis	No	Yes	1034	all	mags
senter	1	0.741927562775345	2.5394009860746105	0.00148656920693576	0.001	0.00244253480613842	colo_diverticulitis	No	Yes	1034	all	mags
Total_Reads_QC_ATLAS	1	0.5447866013298608	1.864645151397598	8.355152100795783e-4	0.001	0.00179351772656674	colo_diverticulitis	No	Yes	1034	all	mags
colo_diverticulitis	1	0.4292836068826773	1.4284455679993426	9.511956276630448e-4	0.02	0.0031571676199736	colo_diverticulitis	No	Yes	450	negative	mags
kjonn	1	0.5856941818800578	1.9489033471017685	0.00210423695469414	0.002	0.00430748967953023	colo_diverticulitis	No	Yes	450	negative	mags
age_invitation	2	0.7420812693608809	1.234641485626983	0.00104176464188327	0.039	0.0054576390000734	colo_diverticulitis	No	Yes	450	negative	mags
senter	1	0.5725188740864553	1.9050623764169916	0.00200721271934055	0.002	0.00421059183744581	colo_diverticulitis	No	Yes	450	negative	mags
Total_Reads_QC_ATLAS	1	0.45814601033285385	1.5244855090294722	0.00116416649016729	0.011	0.0033694362557811	colo_diverticulitis	No	Yes	450	negative	mags
colo_diverticulitis	1	0.40096708093088296	1.4066048701063736	6.957568013741871e-4	0.031	0.00239896005116965	colo_diverticulitis	No	Yes	584	positive	mags
kjonn	1	0.426217613716517	1.4951845168609057	8.472003362529349e-4	0.016	0.00255003235187538	colo_diverticulitis	No	Yes	584	positive	mags
