MAG_id	domain	phylum	clade	order	family	genus	species	taxonomy_id
MAG0153	Bacteria	Firmicutes	Bacilli	Lactobacillales	Enterococcaceae	Enterococcus_B	Enterococcus_B faecium	1218090
MAG0381	Bacteria	Firmicutes	Bacilli	Lactobacillales	Enterococcaceae	Enterococcus_B	Enterococcus_B faecium_B	1352
MAG0689	Bacteria	Firmicutes	Bacilli	Lactobacillales	Enterococcaceae	Enterococcus_B	Enterococcus_B mundtii	53346
MAG1093	Bacteria	Firmicutes	Bacilli	Lactobacillales	Enterococcaceae	Enterococcus_B	Enterococcus_B thailandicus	417368
MAG0716	Bacteria	Firmicutes	Bacilli	Lactobacillales	Enterococcaceae	Enterococcus	Enterococcus faecalis	1169286
MAG0528	Bacteria	Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae	Limosilactobacillus	Limosilactobacillus oris	1423779
MAG1239	Bacteria	Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae	Limosilactobacillus	Limosilactobacillus reuteri	557436
MAG0350	Bacteria	Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae	Limosilactobacillus	Limosilactobacillus vaginalis	1423814
MAG1602	Bacteria	Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae	Limosilactobacillus	Limosilactobacillus vaginalis_A	2702
MAG0454	Bacteria	Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae	Limosilactobacillus	Limosilactobacillus fermentum	525325
MAG1724	Bacteria	Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae	Limosilactobacillus	Limosilactobacillus mucosae	1423771
MAG0120	Bacteria	Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae	Lactiplantibacillus	Lactiplantibacillus plantarum	525338
MAG1610	Bacteria	Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae	Pediococcus	Pediococcus pentosaceus	1255
MAG1244	Bacteria	Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae	Pediococcus	Pediococcus acidilactici	862514
MAG0330	Bacteria	Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae	Leuconostoc	Leuconostoc lactis	1246
MAG1786	Bacteria	Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae	Leuconostoc	Leuconostoc inhae	927694
MAG0095	Bacteria	Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae	Weissella	Weissella confusa	1583
MAG0573	Bacteria	Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae	Ligilactobacillus	Ligilactobacillus murinus	1423772
MAG0607	Bacteria	Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae	Ligilactobacillus	Ligilactobacillus ruminis	1423798
MAG1874	Bacteria	Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae	Ligilactobacillus	Ligilactobacillus agilis	1423718
MAG1709	Bacteria	Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae	Ligilactobacillus	Ligilactobacillus salivarius	1423799
MAG1399	Bacteria	Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae	Lactobacillus	Lactobacillus amylovorus	1423723
MAG1230	Bacteria	Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae	Lactobacillus	Lactobacillus acidophilus	1423717
MAG0644	Bacteria	Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae	Lactobacillus	Lactobacillus delbrueckii	1423823
MAG0801	Bacteria	Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae	Lactobacillus	Lactobacillus gasseri	324831
MAG0557	Bacteria	Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae	Lactobacillus	Lactobacillus paragasseri	2107999
MAG0019	Bacteria	Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae	Lactobacillus	Lactobacillus johnsonii	525330
MAG0193	Bacteria	Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae	Lactobacillus	Lactobacillus iners	525328
MAG0049	Bacteria	Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae	Lacticaseibacillus	Lacticaseibacillus rhamnosus	1423797
MAG1855	Bacteria	Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae	Lacticaseibacillus	Lacticaseibacillus paracasei	1226298
MAG0969	Bacteria	Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae	Latilactobacillus	Latilactobacillus sakei	1423833
MAG0947	Bacteria	Firmicutes	Bacilli	Erysipelotrichales	Erysipelotrichaceae	Bulleidia	Bulleidia moorei	1123263
MAG0802	Bacteria	Firmicutes	Bacilli	Erysipelotrichales	Erysipelotrichaceae	Bulleidia	Bulleidia sp900539965	747375
MAG1754	Bacteria	Firmicutes	Bacilli	Erysipelotrichales	Erysipelotrichaceae	Holdemanella	Holdemanella biformis	518637
MAG1357	Bacteria	Firmicutes	Bacilli	Erysipelotrichales	Erysipelotrichaceae	Holdemanella	Holdemanella sp900547815	747375
MAG1911	Bacteria	Firmicutes	Bacilli	Erysipelotrichales	Erysipelotrichaceae	Holdemanella	Holdemanella sp003436425	2292353
MAG0839	Bacteria	Firmicutes	Bacilli	Erysipelotrichales	Erysipelotrichaceae	Holdemanella	Holdemanella sp002299315	2292349
MAG1622	Bacteria	Firmicutes	Bacilli	Erysipelotrichales	Erysipelotrichaceae	Holdemanella	Holdemanella sp003458715	2292232
MAG1094	Bacteria	Firmicutes	Bacilli	Erysipelotrichales	Erysipelotrichaceae	Faecalicoccus	Faecalicoccus pleomorphus	1123313
MAG1605	Bacteria	Firmicutes	Bacilli	Erysipelotrichales	Erysipelotrichaceae	Faecalicoccus	Faecalicoccus sp900546545	747375
MAG1568	Bacteria	Firmicutes	Bacilli	Erysipelotrichales	Erysipelotrichaceae	Faecalitalea	Faecalitalea cylindroides	649755
MAG0408	Bacteria	Firmicutes	Bacilli	Erysipelotrichales	Erysipelotrichaceae	CAG-536	CAG-536 sp000434355	2292893
MAG1620	Bacteria	Firmicutes	Bacilli	Erysipelotrichales	Erysipelotrichaceae	CAG-536	CAG-536 sp900314505	2486714
MAG0156	Bacteria	Firmicutes	Bacilli	Erysipelotrichales	Erysipelotrichaceae	Merdibacter	Merdibacter massiliensis	1871030
MAG1679	Bacteria	Firmicutes	Bacilli	Erysipelotrichales	Erysipelotrichaceae	Merdibacter	Merdibacter sp900543035	747375
MAG0647	Bacteria	Firmicutes	Bacilli	Erysipelotrichales	Erysipelotrichaceae	Longicatena	Longicatena innocuum	999413
MAG0844	Bacteria	Firmicutes	Bacilli	Erysipelotrichales	Erysipelotrichaceae	Longicatena	Longicatena sp003481775	2292275
MAG1035	Bacteria	Firmicutes	Bacilli	Erysipelotrichales	Erysipelotrichaceae	Longicatena	Longicatena sp000165065	658659
MAG0282	Bacteria	Firmicutes	Bacilli	Erysipelotrichales	Erysipelotrichaceae	Longicatena	Longicatena caecimuris	1796635
MAG1187	Bacteria	Firmicutes	Bacilli	Erysipelotrichales	Erysipelotrichaceae	Longicatena	Longicatena sp900411325	2058290
MAG1940	Bacteria	Firmicutes	Bacilli	Erysipelotrichales	Erysipelotrichaceae	Longicatena	Longicatena dolichum	428127
MAG1686	Bacteria	Firmicutes	Bacilli	Erysipelotrichales	Erysipelotrichaceae	OEMR01	OEMR01 sp900199515	2015901
MAG0980	Bacteria	Firmicutes	Bacilli	Erysipelotrichales	Erysipelatoclostridiaceae	Catenibacterium	Catenibacterium mitsuokai	451640
MAG0169	Bacteria	Firmicutes	Bacilli	Erysipelotrichales	Erysipelatoclostridiaceae	Catenibacterium	Catenibacterium sp000437715	2478954
MAG1020	Bacteria	Firmicutes	Bacilli	Erysipelotrichales	Erysipelatoclostridiaceae	Coprobacillus	Coprobacillus cateniformis	1297794
MAG0548	Bacteria	Firmicutes	Bacilli	Erysipelotrichales	Erysipelatoclostridiaceae	Longibaculum	Longibaculum muris	1796628
MAG0525	Bacteria	Firmicutes	Bacilli	Erysipelotrichales	Erysipelatoclostridiaceae	Massiliomicrobiota	Massiliomicrobiota sp002160815	1965557
MAG1677	Bacteria	Firmicutes	Bacilli	Erysipelotrichales	Erysipelatoclostridiaceae	Massiliomicrobiota	Massiliomicrobiota sp002160865	1776392
MAG1581	Bacteria	Firmicutes	Bacilli	Erysipelotrichales	Erysipelatoclostridiaceae	Erysipelatoclostridium	Erysipelatoclostridium spiroforme	428126
MAG0529	Bacteria	Firmicutes	Bacilli	Erysipelotrichales	Erysipelatoclostridiaceae	Erysipelatoclostridium	Erysipelatoclostridium spiroforme	428126
MAG1624	Bacteria	Firmicutes	Bacilli	Erysipelotrichales	Erysipelatoclostridiaceae	Erysipelatoclostridium	Erysipelatoclostridium spiroforme	428126
MAG0283	Bacteria	Firmicutes	Bacilli	Erysipelotrichales	Erysipelatoclostridiaceae	Erysipelatoclostridium	Erysipelatoclostridium ramosum	445974
MAG0188	Bacteria	Firmicutes	Bacilli	Erysipelotrichales	Erysipelatoclostridiaceae	Erysipelatoclostridium	Erysipelatoclostridium sp002160495	1965571
MAG1798	Bacteria	Firmicutes	Bacilli	Erysipelotrichales	Erysipelatoclostridiaceae	Erysipelatoclostridium	Erysipelatoclostridium sp000752095	1504823
MAG0553	Bacteria	Firmicutes	Bacilli	Erysipelotrichales	Erysipelatoclostridiaceae	Erysipelatoclostridium	Erysipelatoclostridium sp900544435	331630
MAG0482	Bacteria	Firmicutes	Bacilli	Erysipelotrichales	Erysipelatoclostridiaceae	Erysipelatoclostridium	Erysipelatoclostridium sp003024675	2126739
MAG1390	Bacteria	Firmicutes	Bacilli	RFN20	CAG-826	UBA733	UBA733 sp900550795	220137
MAG1629	Bacteria	Firmicutes	Bacilli	RFN20	CAG-826	UBA4855	UBA4855 sp900540365	220137
MAG0255	Bacteria	Firmicutes	Bacilli	RFN20	CAG-826	CAG-826	CAG-826 sp000437235	1262857
MAG1293	Bacteria	Firmicutes	Bacilli	RFN20	CAG-826	RUG131	RUG131 sp900315885	331630
MAG0934	Bacteria	Firmicutes	Bacilli	RFN20	CAG-826	RUG131	RUG131 sp900549975	220137
MAG1383	Bacteria	Firmicutes	Bacilli	RFN20	CAG-288	CAG-568	CAG-568 sp000434395	1262821
MAG1451	Bacteria	Firmicutes	Bacilli	RFN20	CAG-288	CAG-345	CAG-345 sp000433315	1263020
MAG1282	Bacteria	Firmicutes	Bacilli	RFN20	CAG-288	CAG-288	CAG-288 sp000437395	1262791
MAG0374	Bacteria	Firmicutes	Bacilli	RFN20	CAG-449	CAG-449	CAG-449 sp900551385	220137
MAG0446	Bacteria	Firmicutes	Bacilli	RFN20	CAG-631	CAG-631	CAG-631 sp000433015	1262996
MAG1554	Bacteria	Firmicutes	Bacilli	RF39	CAG-302	CAG-302	CAG-302 sp001916775	1897034
MAG1550	Bacteria	Firmicutes	Bacilli	RF39	CAG-302	CAG-302	CAG-302 sp001916775	1897034
MAG1638	Bacteria	Firmicutes	Bacilli	RF39	CAG-302	CAG-302	CAG-302 sp900548425	658143
MAG1139	Bacteria	Firmicutes	Bacilli	RF39	CAG-302	CAG-302	CAG-302 sp900543825	658143
MAG1068	Bacteria	Firmicutes	Bacilli	RF39	CAG-302	CAG-302	CAG-302 sp000431795	1262793
MAG1041	Bacteria	Firmicutes	Bacilli	RF39	CAG-302	RUG705	RUG705 sp900551455	658143
MAG0177	Bacteria	Firmicutes	Bacilli	RF39	CAG-302	CAG-914	CAG-914 sp000437895	1262846
MAG1378	Bacteria	Firmicutes	Bacilli	RF39	CAG-302	CAG-762	CAG-762 sp000432575	1262837
MAG1771	Bacteria	Firmicutes	Bacilli	RF39	CAG-302	CAG-762	CAG-762 sp900551315	658143
MAG0742	Bacteria	Firmicutes	Bacilli	RF39	UBA5348	CAG-1193	CAG-1193 sp000436255	1262771
MAG0171	Bacteria	Firmicutes	Bacilli	RF39	UBA5348	CAG-1193	CAG-1193 sp900550145	220137
MAG0931	Bacteria	Firmicutes	Bacilli	RF39	CAG-433	CAG-433	CAG-433 sp000433675	1262806
MAG1056	Bacteria	Firmicutes	Bacilli	RF39	CAG-433	CAG-433	CAG-433 sp000433675	1262806
MAG0043	Bacteria	Firmicutes	Bacilli	RF39	CAG-433	CAG-433	CAG-433 sp900546245	658143
MAG1353	Bacteria	Firmicutes	Bacilli	RF39	CAG-433	CAG-594	CAG-594 sp000434835	1262826
MAG1585	Bacteria	Firmicutes	Bacilli	RF39	CAG-433	CAG-594	CAG-594 sp000434835	1262826
MAG0504	Bacteria	Firmicutes	Bacilli	RF39	CAG-822	UBA5026	UBA5026 sp900550255	658143
MAG1126	Bacteria	Firmicutes	Bacilli	RF39	CAG-822	UBA3631	UBA3631 sp900546275	658143
MAG0100	Bacteria	Firmicutes	Bacilli	RF39	CAG-822	UMGS1045	UMGS1045 sp900547995	658143
MAG1460	Bacteria	Firmicutes	Bacilli	RF39	CAG-822	CAG-884	CAG-884 sp000433875	1262990
MAG0111	Bacteria	Firmicutes	Bacilli	RF39	CAG-822	UMGS2016	UMGS2016 sp900557185	658143
MAG1843	Bacteria	Firmicutes	Bacilli	RF39	CAG-822	CAG-822	CAG-822 sp900546055	658143
MAG1930	Bacteria	Firmicutes	Bacilli	RF39	CAG-822	CAG-878	CAG-878 sp000432255	1262686
MAG0616	Bacteria	Firmicutes	Bacilli	RF39	CAG-611	CAG-877	CAG-877 sp900554305	658143
MAG0380	Bacteria	Firmicutes	Bacilli	RF39	CAG-611	CAG-877	CAG-877 sp000433455	1262907
MAG0160	Bacteria	Firmicutes	Bacilli	RF39	CAG-611	CAG-877	CAG-877 sp900552495	658143
MAG1112	Bacteria	Firmicutes	Bacilli	RF39	CAG-611	UBA3789	UBA3789 sp900543055	220137
MAG0073	Bacteria	Firmicutes	Bacilli	RF39	CAG-611	UMGS995	UMGS995 sp900547465	658143
MAG1474	Bacteria	Firmicutes	Bacilli	RF39	CAG-611	CAG-417	CAG-417 sp000432835	1262804
MAG1095	Bacteria	Firmicutes	Bacilli	RF39	CAG-611	CAG-451	CAG-451 sp000438295	1262809
MAG0876	Bacteria	Firmicutes	Bacilli	RF39	CAG-611	UBA7057	UBA7057 sp900543675	658143
MAG0796	Bacteria	Firmicutes	Bacilli	RF39	CAG-611	UBA7057	UBA7057 sp900542735	658143
MAG0333	Bacteria	Firmicutes	Bacilli	RF39	CAG-611	CAG-710	CAG-710 sp000432595	1262833
MAG1838	Bacteria	Firmicutes	Bacilli	RF39	CAG-611	CAG-988	CAG-988 sp003149915	1879010
MAG1557	Bacteria	Firmicutes	Bacilli	RF39	CAG-611	CAG-611	CAG-611 sp000434175	1262905
MAG0207	Bacteria	Firmicutes	Bacilli	RF39	CAG-611	CAG-611	CAG-611 sp900552235	658143
MAG1781	Bacteria	Firmicutes	Bacilli	RF39	CAG-611	UMGS1572	UMGS1572 sp900553045	658143
MAG0590	Bacteria	Firmicutes	Bacilli	RF39	CAG-611	UMGS1449	UMGS1449 sp900551925	658143
MAG0582	Bacteria	Firmicutes	Bacilli	RF39	CAG-1000	CAG-460	CAG-460 sp000437355	1263024
MAG1330	Bacteria	Firmicutes	Bacilli	RF39	CAG-1000	CAG-460	CAG-460 sp900544625	658143
MAG1195	Bacteria	Firmicutes	Bacilli	RF39	CAG-1000	CAG-460	CAG-460 sp900551525	658143
MAG0040	Bacteria	Firmicutes	Bacilli	RF39	CAG-1000	CAG-460	CAG-460 sp900546715	658143
MAG1714	Bacteria	Firmicutes	Bacilli	RF39	CAG-1000	CAG-460	CAG-460 sp000437315	1262904
MAG1929	Bacteria	Firmicutes	Bacilli	RF39	CAG-1000	CAG-776	CAG-776 sp000438195	1262906
MAG1219	Bacteria	Firmicutes	Bacilli	RF39	CAG-1000	CAG-776	CAG-776 sp900549285	658143
MAG1229	Bacteria	Firmicutes	Bacilli	RF39	CAG-1000	CAG-776	CAG-776 sp900549285	658143
MAG0617	Bacteria	Firmicutes	Bacilli	RF39	CAG-1000	CAG-605	CAG-605 sp000433475	1262908
MAG0653	Bacteria	Firmicutes	Bacilli	RF39	CAG-1000	CAG-605	CAG-605 sp900545005	658143
MAG0962	Bacteria	Firmicutes	Bacilli	RF39	CAG-1000	CAG-605	CAG-605 sp000433255	1262855
MAG0990	Bacteria	Firmicutes	Bacilli	RF39	CAG-1000	UBA11963	UBA11963 sp900552975	658143
MAG1731	Bacteria	Firmicutes	Bacilli	RF39	CAG-1000	CAG-533	CAG-533 sp000434495	1262818
MAG1891	Bacteria	Firmicutes	Bacilli	RF39	CAG-1000	CAG-533	CAG-533 sp900551105	658143
MAG0246	Bacteria	Firmicutes	Bacilli	RF39	CAG-1000	CAG-533	CAG-533 sp004563275	1869227
MAG1915	Bacteria	Firmicutes	Bacilli	RF39	CAG-1000	CAG-533	CAG-533 sp900553855	658143
MAG0798	Bacteria	Firmicutes	Bacilli	RF39	CAG-1000	CAG-582	CAG-582 sp000435515	1262997
MAG1059	Bacteria	Firmicutes	Bacilli	RF39	CAG-1000	CAG-1000	CAG-1000 sp000434555	1262817
MAG1789	Bacteria	Firmicutes	Bacilli	RF39	CAG-1000	CAG-1000	CAG-1000 sp000436975	1262768
MAG1656	Bacteria	Firmicutes	Bacilli	RF39	CAG-1000	CAG-1000	CAG-1000 sp900556025	658143
MAG0736	Bacteria	Firmicutes	Bacilli	RF39	CAG-1000	CAG-628	CAG-628 sp000438415	1262829
MAG0098	Bacteria	Firmicutes	Bacilli	RF39	CAG-1000	CAG-628	CAG-628 sp003524085	1879010
MAG1075	Bacteria	Firmicutes	Bacilli	Acholeplasmatales	Anaeroplasmataceae	UMGS268	UMGS268 sp900540175	220137
MAG0852	Bacteria	Firmicutes	Bacilli	Acholeplasmatales	Anaeroplasmataceae	UMGS268	UMGS268 sp900540705	220137
MAG0960	Bacteria	Firmicutes	Bacilli	Acholeplasmatales	Anaeroplasmataceae	CAG-307	CAG-307 sp001916215	1896987
MAG1879	Bacteria	Firmicutes	Bacilli	ML615J-28	CAG-313	CAG-313	CAG-313 sp000433035	1262969
MAG0543	Bacteria	Firmicutes	Bacilli	ML615J-28	CAG-313	CAG-313	CAG-313 sp900539265	220137
MAG0345	Bacteria	Firmicutes	Bacilli	ML615J-28	CAG-313	CAG-313	CAG-313 sp003539625	2053494
MAG0718	Bacteria	Firmicutes	Bacilli	ML615J-28	CAG-313	UMGS75	UMGS75 sp900538885	220137
MAG1726	Bacteria	Firmicutes	Bacilli	ML615J-28	CAG-698	Tener-01	Tener-01 sp001940985	1930023
MAG0104	Bacteria	Firmicutes	Bacilli	Haloplasmatales	Turicibacteraceae	Turicibacter	Turicibacter sp001543345	1712675
MAG0450	Bacteria	Firmicutes	Bacilli	Haloplasmatales	Turicibacteraceae	Turicibacter	Turicibacter sanguinis	154288
MAG1134	Bacteria	Firmicutes	Bacilli	Staphylococcales	Gemellaceae	Gemella	Gemella morbillorum	29391
MAG0022	Bacteria	Fusobacteriota	Fusobacteriia	Fusobacteriales	Fusobacteriaceae	Fusobacterium_C	Fusobacterium_C necrophorum	143388
MAG0338	Bacteria	Fusobacteriota	Fusobacteriia	Fusobacteriales	Fusobacteriaceae	Fusobacterium_A	Fusobacterium_A ulcerans	861
MAG0723	Bacteria	Fusobacteriota	Fusobacteriia	Fusobacteriales	Fusobacteriaceae	Fusobacterium_A	Fusobacterium_A varium	856
MAG0546	Bacteria	Fusobacteriota	Fusobacteriia	Fusobacteriales	Fusobacteriaceae	Fusobacterium_A	Fusobacterium_A sp900543175	159267
MAG1435	Bacteria	Fusobacteriota	Fusobacteriia	Fusobacteriales	Fusobacteriaceae	Fusobacterium_A	Fusobacterium_A sp900555845	159267
MAG1147	Bacteria	Fusobacteriota	Fusobacteriia	Fusobacteriales	Fusobacteriaceae	Fusobacterium_A	Fusobacterium_A mortiferum	469616
MAG1551	Bacteria	Fusobacteriota	Fusobacteriia	Fusobacteriales	Fusobacteriaceae	Fusobacterium_B	Fusobacterium_B sp900541465	159267
MAG0070	Bacteria	Fusobacteriota	Fusobacteriia	Fusobacteriales	Leptotrichiaceae	Sneathia	Sneathia amnii	187101
MAG0935	Bacteria	Firmicutes_A	Clostridia	Oscillospirales	Acutalibacteraceae	Ruminococcus_E	Ruminococcus_E bromii	40518
MAG0634	Bacteria	Firmicutes_A	Clostridia	Oscillospirales	Acutalibacteraceae	Ruminococcus_E	Ruminococcus_E bromii_B	40518
MAG0968	Bacteria	Firmicutes_A	Clostridia	Oscillospirales	Acutalibacteraceae	Ruminococcus_E	Ruminococcus_E sp003438075	2292352
MAG0249	Bacteria	Firmicutes_A	Clostridia	Oscillospirales	Acutalibacteraceae	Ruminococcus_E	Ruminococcus_E sp003526955	1898205
MAG1228	Bacteria	Firmicutes_A	Clostridia	Oscillospirales	Acutalibacteraceae	Ruminococcus_E	Ruminococcus_E sp900314705	2564099
MAG1343	Bacteria	Firmicutes_A	Clostridia	Oscillospirales	Acutalibacteraceae	An172	An172 sp002160515	1965570
MAG1156	Bacteria	Firmicutes_A	Clostridia	Oscillospirales	Acutalibacteraceae	UMGS403	UMGS403 sp900540275	541003
MAG1867	Bacteria	Firmicutes_A	Clostridia	Oscillospirales	Acutalibacteraceae	UMGS403	UMGS403 sp900541565	541003
MAG0640	Bacteria	Firmicutes_A	Clostridia	Oscillospirales	Acutalibacteraceae	UMGS403	UMGS403 sp900541975	541003
MAG0477	Bacteria	Firmicutes_A	Clostridia	Oscillospirales	Acutalibacteraceae	CAG-964	CAG-964 sp000435335	1262848
MAG0471	Bacteria	Firmicutes_A	Clostridia	Oscillospirales	Acutalibacteraceae	GCA-900066995	GCA-900066995 sp900291955	2086583
MAG1773	Bacteria	Firmicutes_A	Clostridia	Oscillospirales	Acutalibacteraceae	Clostridium_A	Clostridium_A leptum	428125
MAG0721	Bacteria	Firmicutes_A	Clostridia	Oscillospirales	Acutalibacteraceae	UMGS1224	UMGS1224 sp900549775	541003
MAG1768	Bacteria	Firmicutes_A	Clostridia	Oscillospirales	Acutalibacteraceae	CAG-557	CAG-557 sp000435275	1262819
MAG1476	Bacteria	Firmicutes_A	Clostridia	Oscillospirales	Acutalibacteraceae	UMGS1491	UMGS1491 sp900554775	541003
MAG0847	Bacteria	Firmicutes_A	Clostridia	Oscillospirales	Acutalibacteraceae	Anaeromassilibacillus	Anaeromassilibacillus sp002159845	1965604
MAG0817	Bacteria	Firmicutes_A	Clostridia	Oscillospirales	Acutalibacteraceae	UBA4871	UBA4871 sp900554535	541003
MAG0486	Bacteria	Firmicutes_A	Clostridia	Oscillospirales	Acutalibacteraceae	UMGS1071	UMGS1071 sp900541905	541003
MAG0588	Bacteria	Firmicutes_A	Clostridia	Oscillospirales	Acutalibacteraceae	UMGS1071	UMGS1071 sp900542375	541003
MAG0937	Bacteria	Firmicutes_A	Clostridia	Oscillospirales	Acutalibacteraceae	Acutalibacter	Acutalibacter sp000435395	1262989
MAG1863	Bacteria	Firmicutes_A	Clostridia	Oscillospirales	Acutalibacteraceae	Acutalibacter	Acutalibacter sp900543555	541003
MAG0905	Bacteria	Firmicutes_A	Clostridia	Oscillospirales	Acutalibacteraceae	Acutalibacter	Acutalibacter sp900548545	541003
MAG0292	Bacteria	Firmicutes_A	Clostridia	Oscillospirales	Acutalibacteraceae	Acutalibacter	Acutalibacter timonensis	1776382
MAG0485	Bacteria	Firmicutes_A	Clostridia	Oscillospirales	Acutalibacteraceae	Ruminococcus_H	Ruminococcus_H sp900552925	541003
MAG0437	Bacteria	Firmicutes_A	Clostridia	Oscillospirales	Acutalibacteraceae	Ruminococcus_H	Ruminococcus_H sp003531055	1898205
MAG1431	Bacteria	Firmicutes_A	Clostridia	Oscillospirales	Acutalibacteraceae	UBA5905	UBA5905 sp002437905	1952411
MAG1364	Bacteria	Firmicutes_A	Clostridia	Oscillospirales	Acutalibacteraceae	UMGS856	UMGS856 sp900546265	541003
MAG0970	Bacteria	Firmicutes_A	Clostridia	Oscillospirales	Acutalibacteraceae	CAG-177	CAG-177 sp000431775	1262803
