sample_id	gr
S_33994520	V3
S_83904239	V1
S_28408134	V2
S_59116478	V1
S_83836493	V1
S_8044248	V2
S_70575094	V1
S_70183628	V2
S_46932275	V1
S_44256179	V1
S_56655501	V1
S_92919838	V1
S_23816174	V2
S_22959561	V2
S_42601373	V4
S_34018559	V2
S_86615946	V4
S_18542258	V2
S_49838553	V2
S_43541622	V1
S_56862119	V2
S_65960068	V4
S_97876851	V1
S_23983953	V1
S_24840347	V2
S_79886771	V1
S_83335498	V1
S_12237262	V1
S_96367888	V3
S_15584966	V2
S_15219067	V1
S_92597762	V1
S_51196524	V2
S_16330250	V1
S_35481902	V4
S_66322280	V1
S_31865464	V1
S_35805767	V4
S_15636724	V2
S_66228882	V2
S_19321926	V1
S_95483434	V1
S_89886999	V1
S_94426007	V1
S_72645383	V4
S_37665349	V2
S_78320735	V2
S_2103801	V2
S_94090561	V1
S_99381172	V1
S_36383168	V2
S_75015870	V3
S_79497992	V1
S_70880040	V2
S_48106678	V3
S_49970797	V1
S_31497192	V4
S_69806211	V3
S_82456536	V4
S_44037045	V2
S_51958532	V1
S_66638085	V1
S_15173491	V1
S_35104251	V4
S_41170594	V2
S_9445789	V2
S_93324619	V1
S_84000021	V1
S_88063895	V2
S_93635533	V1
S_8173602	V3
S_38497184	V2
S_54248626	V4
S_11399963	V4
S_80367082	V2
S_74224532	V3
S_6162752	V1
S_48734787	V2
S_92131265	V2
S_5111314	V1
S_30105187	V1
S_50584197	V4
S_61365143	V4
S_27160655	V1
S_42886761	V3
S_37289797	V3
S_94308025	V1
S_13248632	V1
S_7933235	V2
S_96467385	V1
S_44808500	V1
S_37656965	V1
S_17854114	V2
S_6364852	V1
S_66124978	V3
S_58238029	V1
S_98723073	V3
S_60775447	V1
S_7430041	V3
S_17048798	V2
S_48064393	V2
S_1191350	V4
S_44704454	V1
S_26832043	V1
S_93902959	V3
S_71867494	V1
S_17145462	V3
S_48142613	V2
S_69335414	V1
S_46628622	V2
S_95559526	V2
S_71541471	V3
S_40317644	V2
S_12654340	V2
S_24771510	V1
S_86499425	V2
S_44161663	V2
S_50288936	V1
S_69500838	V1
S_76271014	V1
S_16384720	V1
S_85096251	V3
S_94734963	V1
S_59253499	V3
S_50722830	V1
S_19788211	V4
S_1181848	V3
S_87880227	V1
S_14277022	V2
S_3251381	V1
S_93974532	V2
S_30001923	V3
S_17268330	V1
S_40511152	V2
S_46497965	V2
S_43969053	V3
S_52183972	V3
S_84778328	V2
S_6461264	V2
S_55863528	V2
S_69139247	V1
S_66147697	V1
S_66670929	V2
S_47751185	V2
S_96983287	V4
S_40817508	V3
S_85105657	V2
S_75907845	V3
S_53727520	V1
S_87540815	V1
S_47244395	V3
S_1804717	V2
S_73048932	V2
S_71942357	V1
S_19555210	V1
S_64960659	V2
S_54655948	V3
S_34196754	V2
S_64152962	V4
S_83090904	V1
S_71188543	V2
S_35506484	V1
S_13704459	V4
S_39419770	V1
S_92889576	V3
S_80634685	V2
S_76110983	V2
S_95767738	V1
S_99397472	V2
S_61037657	V2
S_3908339	V2
S_34308090	V4
S_28488150	V2
S_12602557	V2
S_5278607	V1
S_37660668	V1
S_34350952	V3
S_18191602	V1
S_62555554	V3
S_40386518	V1
S_95611900	V1
S_65681594	V2
S_33545627	V1
S_20517524	V4
S_12418890	V3
S_99600581	V4
S_38548395	V1
S_56636820	V1
S_73539083	V1
S_87209748	V1
S_57644855	V2
S_2092571	V3
S_90725209	V1
S_77294708	V1
S_38867957	V3
S_10310542	V1
S_5915704	V1
S_82295068	V2
S_83103105	V3
S_65818554	V1
S_14149953	V2
S_34839179	V1
S_73405785	V4
S_90821849	V3
S_69923502	V2
S_24916342	V1
S_64766614	V1
S_28794270	V1
S_95806014	V2
S_16681199	V1
S_42415559	V1
S_25948969	V2
S_10344636	V2
S_82944058	V4
S_53005244	V4
S_67107014	V4
S_41419497	V4
S_84416399	V2
S_73993240	V3
S_35474215	V3
S_94944878	V1
S_65021239	V2
S_4492498	V3
S_60048396	V1
S_42116481	V1
S_8612806	V4
S_53276838	V1
S_96270996	V2
S_71165264	V3
S_55794094	V3
S_25052704	V1
S_78026209	V4
S_65542152	V3
S_83194323	V1
S_65206543	V1
S_48503743	V1
S_50011345	V1
S_38607386	V2
S_45598057	V1
S_81610922	V1
S_92948944	V4
S_15600623	V1
S_75232344	V2
S_97590076	V2
S_97504452	V1
S_35711931	V4
S_40000956	V1
S_95144148	V1
S_11558183	V2
S_93541250	V1
S_35270047	V4
S_53772999	V3
S_54340635	V3
S_71757076	V3
S_41173259	V1
S_16126025	V1
S_34683043	V4
S_63038829	V3
S_6679895	V3
S_85315095	V2
S_22051889	V2
S_54406740	V3
S_14512270	V1
S_33161648	V1
S_62486552	V1
S_26342242	V3
S_63852703	V3
S_49081538	V3
S_93879513	V4
S_85892651	V1
S_37717469	V1
S_32105980	V3
S_83024900	V4
S_45732309	V2
S_32271962	V3
S_10683045	V1
S_7425153	V1
S_69256278	V1
S_67137009	V4
S_90550117	V4
S_30867633	V2
S_93348060	V1
S_20996318	V1
S_79445496	V2
S_23238420	V1
S_4044900	V3
S_86341369	V2
S_68825642	V1
S_94265415	V2
S_67909521	V2
S_84468893	V4
S_36827523	V2
S_39844222	V2
S_57201051	V1
S_10420061	V1
S_20184622	V3
S_59218572	V1
S_75398911	V1
S_86856639	V1
S_37807777	V1
S_80082639	V1
S_6773124	V4
S_62720134	V1
S_36307498	V2
S_59204864	V4
S_91464678	V2
S_20744775	V2
S_37539278	V3
S_67469423	V3
S_77046309	V2
S_52702578	V3
S_82979425	V2
S_53182522	V1
S_50673727	V1
S_42577358	V3
S_36867529	V3
S_13219461	V1
S_30517991	V3
S_28390972	V4
S_77252309	V1
S_78039948	V2
S_15234940	V1
S_52037088	V1
S_60126807	V1
S_51078458	V1
S_39223863	V1
S_43183711	V1
S_2164213	V3
S_92013844	V2
S_8864529	V1
S_51230050	V1
S_82196989	V1
S_60241145	V1
S_42991198	V2
S_56371716	V2
S_79120351	V1
S_17603810	V1
S_97074720	V1
S_47876806	V2
S_93044576	V2
S_90192986	V2
S_75337335	V1
S_67980307	V1
S_65153330	V1
S_8251440	V2
S_42932282	V2
S_53551611	V1
S_94327770	V1
S_71510230	V1
S_72724566	V2
S_47542732	V2
S_12907943	V1
S_78526668	V3
S_44377581	V1
S_43714141	V1
S_3722289	V3
S_15509622	V2
S_42836920	V2
S_76946579	V3
S_1471878	V2
S_60755972	V3
S_90652147	V1
S_70959490	V2
S_26991178	V2
S_85256544	V1
S_34026945	V2
S_58250141	V3
S_43844539	V1
S_6107936	V3
S_73250524	V3
S_55268870	V2
S_75370975	V1
S_6026345	V3
S_71781654	V4
S_30471750	V3
S_29064243	V2
S_83157834	V1
S_9553142	V2
S_5223054	V1
S_35525339	V2
S_54691264	V2
S_61336624	V1
S_27865837	V2
S_21317862	V3
S_38781582	V2
S_47783252	V2
S_83716276	V1
S_13025678	V1
S_67905003	V1
S_50171836	V2
S_90321536	V1
S_55575132	V1
S_13727902	V3
S_44758968	V1
S_20037471	V3
S_44055161	V2
S_23288206	V2
S_96148530	V1
S_45394318	V4
S_77937352	V3
S_16663757	V3
S_86814048	V1
S_21408414	V4
S_18617018	V1
S_17324223	V3
S_56961628	V2
S_72990920	V3
S_87715979	V1
S_71134013	V2
S_48268857	V1
S_82207718	V1
S_2644608	V2
S_99614998	V3
S_63854588	V2
S_43419062	V1
S_3810900	V3
S_75579936	V1
S_21654763	V1
S_99946084	V1
S_90817669	V1
S_71534037	V4
S_73362354	V1
S_47776303	V1
S_86388557	V3
S_17376096	V3
S_62422364	V3
S_29940807	V4
S_46158031	V1
S_5518281	V3
S_18588513	V2
S_6735274	V3
S_94496612	V2
S_34931603	V3
S_52277105	V2
S_62899287	V4
S_24489220	V1
S_52096267	V1
S_80847640	V4
S_35478208	V4
S_86010056	V1
S_4409437	V3
S_97128716	V2
S_74765902	V1
S_28052268	V1
S_68033503	V2
S_35446798	V1
S_94755030	V1
S_34523753	V1
S_4139607	V1
S_36004993	V1
S_39325234	V2
S_36337768	V1
S_96036891	V2
S_38990081	V1
S_55087423	V1
S_92607023	V1
S_91769092	V2
S_25030566	V2
S_71991992	V2
S_35545657	V1
S_55874051	V1
S_74554268	V4
S_82150132	V2
S_87096068	V2
S_4550648	V1
S_22782415	V2
S_37330347	V1
S_31263947	V1
S_73055214	V1
S_70273147	V4
S_91096030	V1
S_84714657	V2
S_78075918	V2
S_40683498	V1
S_58103660	V1
S_8559585	V3
S_87424509	V2
S_95672286	V2
S_51047576	V1
S_92512269	V3
S_14316839	V4
S_24634963	V3
S_49506299	V2
S_47931949	V1
S_44064421	V1
S_4885647	V3
S_64788769	V1
S_71841152	V3
S_35815005	V3
S_94709117	V1
S_74567543	V1
S_6027806	V3
S_98056112	V2
S_22564422	V4
S_4583404	V2
S_26809682	V1
S_72321162	V3
S_25541523	V3
S_24256663	V1
S_3080172	V2
S_27197441	V1
S_69488359	V2
S_4432269	V2
S_7215826	V1
S_40372902	V2
S_49512813	V4
S_63473825	V3
S_72617026	V4
S_8599813	V1
S_42723161	V1
S_97398940	V1
S_81566771	V2
S_23153004	V4
S_49484487	V1
S_2122679	V2
S_26601627	V1
S_46005277	V1
S_74356691	V2
S_99075340	V2
S_33888289	V2
S_94534348	V1
S_96223487	V1
S_90028471	V1
S_49778867	V1
S_78708611	V4
S_80508784	V4
S_68098994	V1
S_58546479	V1
S_33736140	V1
S_1130150	V2
S_7514394	V2
S_9509239	V1
S_2297861	V3
S_34238816	V2
S_12807167	V2
S_59765948	V3
S_4693954	V3
S_1947607	V1
S_16998016	V2
S_83357999	V2
S_76917431	V3
S_28005251	V1
S_19628166	V1
S_23350421	V3
S_7135066	V2
S_6930123	V2
S_15667431	V2
S_8225800	V3
S_5245703	V2
S_52723665	V2
S_79133916	V2
S_69780580	V1
S_7591028	V1
S_2777816	V3
S_44773683	V2
S_16602606	V2
S_72167150	V2
S_70690240	V2
S_88637403	V1
S_33200840	V1
S_97117274	V2
S_98497205	V2
S_4879287	V2
S_89463556	V1
S_82417515	V4
S_72700223	V3
S_29603093	V1
S_50692911	V4
S_43406352	V3
S_61391584	V2
S_92685203	V1
S_24772202	V3
S_27916301	V2
S_73765360	V3
S_75403040	V1
S_93128599	V3
S_46810296	V2
S_86208425	V4
S_31891605	V1
S_21595862	V2
S_92161918	V1
S_6220951	V3
S_41704387	V2
S_46177779	V3
S_42170164	V2
S_67364991	V3
S_75933503	V1
S_91253479	V1
S_82175255	V1
S_10271335	V2
S_18612701	V4
S_64579242	V1
S_87554015	V3
S_59639021	V1
S_26980786	V2
S_88491473	V2
S_19581245	V1
S_49397830	V1
S_1972228	V2
S_36682969	V3
S_44774006	V2
S_13447192	V2
S_62812089	V3
S_30940701	V1
S_24724085	V1
S_36504346	V2
S_89398129	V1
S_99072098	V2
S_73509697	V3
S_99286019	V3
S_54439146	V3
S_43946373	V3
S_96502692	V2
S_15683644	V2
S_7582812	V1
S_3400897	V2
S_61629900	V1
S_69964265	V4
S_80313046	V2
S_14635297	V4
S_16818697	V3
S_98894524	V3
S_40465923	V1
S_19603269	V4
S_48295095	V1
S_54879167	V2
S_33487639	V1
S_99993127	V1
S_53250401	V2
S_14239716	V3
S_44415466	V1
S_62458599	V1
S_21088328	V1
S_14282807	V1
S_77906565	V2
S_63959034	V1
S_28931493	V1
S_19934685	V2
S_27288135	V4
S_53550069	V2
S_68801228	V1
S_38945055	V2
S_95543810	V1
S_12717301	V2
S_4870905	V1
S_50945997	V1
S_58269772	V2
S_84091086	V4
S_65790051	V1
S_94508304	V2
S_51654104	V3
S_9407184	V3
S_99482279	V3
S_40742967	V1
S_89668982	V1
S_87808981	V2
S_30351994	V4
S_14126598	V1
S_27325179	V1
S_1567026	V1
S_82140579	V1
S_18291506	V1
S_84464973	V3
S_17504504	V1
S_76637923	V2
S_52374870	V3
S_27995844	V2
S_34977110	V2
S_70802457	V1
S_59561994	V2
S_47468524	V2
S_34301283	V2
S_96815904	V1
