dataset	data_type	model_type	ext_comp	alg	sec_add_var	sec_alg	predictor	rep	fold	auroc	sensitivity	specificity	selection	primary_model	secondary_model
mags-distal	mag-based	feature-strat	FALSE	rf	fit	log_reg	primary_prob	Repeat05	Fold2	0.6472186700767263	0.7608695652173914	0.39705882352941174	all	rf_mags-distal	log_reg_mags-distal_fit
mags-distal	mag-based	feature-strat	FALSE	rf	fit	log_reg	primary_prob	Repeat05	Fold3	0.5690447030006124	0.6630434782608695	0.4507042253521127	all	rf_mags-distal	log_reg_mags-distal_fit
mags-distal	mag-based	feature-strat	FALSE	rf	fit	log_reg	primary_prob	Repeat05	Fold4	0.6672092335010358	0.7798165137614679	0.43548387096774194	all	rf_mags-distal	log_reg_mags-distal_fit
mags-distal	mag-based	feature-strat	FALSE	rf	fit	log_reg	primary_prob	Repeat05	Fold5	0.5724567474048443	0.788235294117647	0.3764705882352941	all	rf_mags-distal	log_reg_mags-distal_fit
mags-distal	mag-based	feature-strat	FALSE	rf	fit	log_reg	primary_prob	Repeat06	Fold1	0.5132956152758134	0.9207920792079208	0.05714285714285714	all	rf_mags-distal	log_reg_mags-distal_fit
mags-distal	mag-based	feature-strat	FALSE	rf	fit	log_reg	primary_prob	Repeat06	Fold2	0.6303030303030304	0.6931818181818182	0.5066666666666667	all	rf_mags-distal	log_reg_mags-distal_fit
mags-distal	mag-based	feature-strat	FALSE	rf	fit	log_reg	primary_prob	Repeat06	Fold3	0.5758108108108109	0.82	0.33783783783783783	all	rf_mags-distal	log_reg_mags-distal_fit
mags-distal	mag-based	feature-strat	FALSE	rf	fit	log_reg	primary_prob	Repeat06	Fold4	0.5970728793309439	0.6881720430107527	0.3888888888888889	all	rf_mags-distal	log_reg_mags-distal_fit
mags-distal	mag-based	feature-strat	FALSE	rf	fit	log_reg	primary_prob	Repeat06	Fold5	0.5682507583417593	0.8837209302325582	0.2028985507246377	all	rf_mags-distal	log_reg_mags-distal_fit
mags-distal	mag-based	feature-strat	FALSE	rf	fit	log_reg	primary_prob	Repeat07	Fold1	0.6289711454386476	0.723404255319149	0.410958904109589	all	rf_mags-distal	log_reg_mags-distal_fit
mags-distal	mag-based	feature-strat	FALSE	rf	fit	log_reg	primary_prob	Repeat07	Fold2	0.6077926015767131	0.8247422680412371	0.29411764705882354	all	rf_mags-distal	log_reg_mags-distal_fit
mags-distal	mag-based	feature-strat	FALSE	rf	fit	log_reg	primary_prob	Repeat07	Fold3	0.6535060975609756	0.9512195121951219	0.2	all	rf_mags-distal	log_reg_mags-distal_fit
mags-distal	mag-based	feature-strat	FALSE	rf	fit	log_reg	primary_prob	Repeat07	Fold4	0.5797611757501531	0.9456521739130435	0.09859154929577464	all	rf_mags-distal	log_reg_mags-distal_fit
mags-distal	mag-based	feature-strat	FALSE	rf	fit	log_reg	primary_prob	Repeat07	Fold5	0.5910908052541405	0.7184466019417476	0.38235294117647056	all	rf_mags-distal	log_reg_mags-distal_fit
mags-distal	mag-based	feature-strat	FALSE	rf	fit	log_reg	primary_prob	Repeat08	Fold1	0.5929951690821256	0.8229166666666666	0.2463768115942029	all	rf_mags-distal	log_reg_mags-distal_fit
mags-distal	mag-based	feature-strat	FALSE	rf	fit	log_reg	primary_prob	Repeat08	Fold2	0.611145703611457	0.875	0.1780821917808219	all	rf_mags-distal	log_reg_mags-distal_fit
mags-distal	mag-based	feature-strat	FALSE	rf	fit	log_reg	primary_prob	Repeat08	Fold3	0.5642045454545455	0.8863636363636364	0.125	all	rf_mags-distal	log_reg_mags-distal_fit
mags-distal	mag-based	feature-strat	FALSE	rf	fit	log_reg	primary_prob	Repeat08	Fold4	0.6081649831649831	0.7676767676767676	0.2916666666666667	all	rf_mags-distal	log_reg_mags-distal_fit
mags-distal	mag-based	feature-strat	FALSE	rf	fit	log_reg	primary_prob	Repeat08	Fold5	0.6105904404873477	0.5257731958762887	0.5909090909090909	all	rf_mags-distal	log_reg_mags-distal_fit
mags-distal	mag-based	feature-strat	FALSE	rf	fit	log_reg	primary_prob	Repeat09	Fold1	0.5771428571428572	0.7244897959183674	0.37333333333333335	all	rf_mags-distal	log_reg_mags-distal_fit
mags-distal	mag-based	feature-strat	FALSE	rf	fit	log_reg	primary_prob	Repeat09	Fold2	0.6016381236038719	0.7647058823529411	0.3291139240506329	all	rf_mags-distal	log_reg_mags-distal_fit
mags-distal	mag-based	feature-strat	FALSE	rf	fit	log_reg	primary_prob	Repeat09	Fold3	0.6046838407494145	0.8476190476190476	0.32786885245901637	all	rf_mags-distal	log_reg_mags-distal_fit
mags-distal	mag-based	feature-strat	FALSE	rf	fit	log_reg	primary_prob	Repeat09	Fold4	0.6490208078335373	0.9069767441860465	0.2894736842105263	all	rf_mags-distal	log_reg_mags-distal_fit
mags-distal	mag-based	feature-strat	FALSE	rf	fit	log_reg	primary_prob	Repeat09	Fold5	0.5622880049337033	0.9148936170212766	0.13043478260869565	all	rf_mags-distal	log_reg_mags-distal_fit
mags-distal	mag-based	feature-strat	FALSE	rf	fit	log_reg	primary_prob	Repeat10	Fold1	0.520709219858156	0.8617021276595744	0.17333333333333334	all	rf_mags-distal	log_reg_mags-distal_fit
mags-distal	mag-based	feature-strat	FALSE	rf	fit	log_reg	primary_prob	Repeat10	Fold2	0.5979491888582797	0.6565656565656566	0.45454545454545453	all	rf_mags-distal	log_reg_mags-distal_fit
mags-distal	mag-based	feature-strat	FALSE	rf	fit	log_reg	primary_prob	Repeat10	Fold3	0.530374164176981	0.9090909090909091	0.1267605633802817	all	rf_mags-distal	log_reg_mags-distal_fit
mags-distal	mag-based	feature-strat	FALSE	rf	fit	log_reg	primary_prob	Repeat10	Fold4	0.6464788732394366	0.6888888888888889	0.49295774647887325	all	rf_mags-distal	log_reg_mags-distal_fit
mags-distal	mag-based	feature-strat	FALSE	rf	fit	log_reg	primary_prob	Repeat10	Fold5	0.6511627906976745	0.7325581395348837	0.4935064935064935	all	rf_mags-distal	log_reg_mags-distal_fit
mags-distal	mag-based	feature-strat	FALSE	rf	fit	log_reg	primary_prob	Repeat11	Fold1	0.5718390804597702	0.9310344827586207	0.19298245614035087	all	rf_mags-distal	log_reg_mags-distal_fit
mags-distal	mag-based	feature-strat	FALSE	rf	fit	log_reg	primary_prob	Repeat11	Fold2	0.5884128809660725	0.8085106382978723	0.22972972972972974	all	rf_mags-distal	log_reg_mags-distal_fit
mags-distal	mag-based	feature-strat	FALSE	rf	fit	log_reg	primary_prob	Repeat11	Fold3	0.6538461538461539	0.918918918918919	0.16666666666666666	all	rf_mags-distal	log_reg_mags-distal_fit
mags-distal	mag-based	feature-strat	FALSE	rf	fit	log_reg	primary_prob	Repeat11	Fold4	0.5779109589041096	0.6666666666666666	0.4383561643835616	all	rf_mags-distal	log_reg_mags-distal_fit
mags-distal	mag-based	feature-strat	FALSE	rf	fit	log_reg	primary_prob	Repeat11	Fold5	0.6191724941724942	0.6818181818181818	0.5256410256410257	all	rf_mags-distal	log_reg_mags-distal_fit
mags-distal	mag-based	feature-strat	FALSE	rf	fit	log_reg	primary_prob	Repeat12	Fold1	0.6365488142004947	0.9195402298850575	0.20253164556962025	all	rf_mags-distal	log_reg_mags-distal_fit
mags-distal	mag-based	feature-strat	FALSE	rf	fit	log_reg	primary_prob	Repeat12	Fold2	0.6171046899956439	0.8969072164948454	0.2535211267605634	all	rf_mags-distal	log_reg_mags-distal_fit
mags-distal	mag-based	feature-strat	FALSE	rf	fit	log_reg	primary_prob	Repeat12	Fold3	0.5577380952380953	0.8958333333333334	0.12857142857142856	all	rf_mags-distal	log_reg_mags-distal_fit
mags-distal	mag-based	feature-strat	FALSE	rf	fit	log_reg	primary_prob	Repeat12	Fold4	0.6227266113778553	0.8735632183908046	0.25316455696202533	all	rf_mags-distal	log_reg_mags-distal_fit
mags-distal	mag-based	feature-strat	FALSE	rf	fit	log_reg	primary_prob	Repeat12	Fold5	0.6252231780555104	0.7029702970297029	0.4262295081967213	all	rf_mags-distal	log_reg_mags-distal_fit
mags-distal	mag-based	feature-strat	FALSE	rf	fit	log_reg	primary_prob	Repeat13	Fold1	0.6185867895545315	0.8817204301075269	0.2571428571428571	all	rf_mags-distal	log_reg_mags-distal_fit
mags-distal	mag-based	feature-strat	FALSE	rf	fit	log_reg	primary_prob	Repeat13	Fold2	0.5836873406966865	0.8691588785046729	0.3333333333333333	all	rf_mags-distal	log_reg_mags-distal_fit
mags-distal	mag-based	feature-strat	FALSE	rf	fit	log_reg	primary_prob	Repeat13	Fold3	0.6174734356552538	0.6477272727272727	0.5194805194805194	all	rf_mags-distal	log_reg_mags-distal_fit
mags-distal	mag-based	feature-strat	FALSE	rf	fit	log_reg	primary_prob	Repeat13	Fold4	0.5440119354401193	0.8613861386138614	0.1780821917808219	all	rf_mags-distal	log_reg_mags-distal_fit
mags-distal	mag-based	feature-strat	FALSE	rf	fit	log_reg	primary_prob	Repeat13	Fold5	0.5939103660622648	0.8607594936708861	0.17567567567567569	all	rf_mags-distal	log_reg_mags-distal_fit
mags-distal	mag-based	feature-strat	FALSE	rf	fit	log_reg	primary_prob	Repeat14	Fold1	0.6014705882352941	0.92	0.20588235294117646	all	rf_mags-distal	log_reg_mags-distal_fit
mags-distal	mag-based	feature-strat	FALSE	rf	fit	log_reg	primary_prob	Repeat14	Fold2	0.5479302832244008	0.8529411764705882	0.19047619047619047	all	rf_mags-distal	log_reg_mags-distal_fit
mags-distal	mag-based	feature-strat	FALSE	rf	fit	log_reg	primary_prob	Repeat14	Fold3	0.6124188311688311	0.8928571428571429	0.2840909090909091	all	rf_mags-distal	log_reg_mags-distal_fit
mags-distal	mag-based	feature-strat	FALSE	rf	fit	log_reg	primary_prob	Repeat14	Fold4	0.5941959275292609	0.7792207792207793	0.345679012345679	all	rf_mags-distal	log_reg_mags-distal_fit
mags-distal	mag-based	feature-strat	FALSE	rf	fit	log_reg	primary_prob	Repeat14	Fold5	0.6185714285714285	0.6095238095238096	0.5833333333333334	all	rf_mags-distal	log_reg_mags-distal_fit
mags-distal	mag-based	feature-strat	FALSE	rf	fit	log_reg	primary_prob	Repeat15	Fold1	0.5602795573675015	0.8514851485148515	0.23529411764705882	all	rf_mags-distal	log_reg_mags-distal_fit
mags-distal	mag-based	feature-strat	FALSE	rf	fit	log_reg	primary_prob	Repeat15	Fold2	0.54015625	0.69	0.34375	all	rf_mags-distal	log_reg_mags-distal_fit
mags-distal	mag-based	feature-strat	FALSE	rf	fit	log_reg	primary_prob	Repeat15	Fold3	0.5878014184397163	0.8191489361702128	0.24	all	rf_mags-distal	log_reg_mags-distal_fit
mags-distal	mag-based	feature-strat	FALSE	rf	fit	log_reg	primary_prob	Repeat15	Fold4	0.5695238095238095	0.9489795918367347	0.06666666666666667	all	rf_mags-distal	log_reg_mags-distal_fit
mags-distal	mag-based	feature-strat	FALSE	rf	fit	log_reg	primary_prob	Repeat15	Fold5	0.6535042735042735	0.8666666666666667	0.2948717948717949	all	rf_mags-distal	log_reg_mags-distal_fit
mags-distal	mag-based	feature-strat	FALSE	rf	fit	log_reg	primary_prob	Repeat16	Fold1	0.6091734352603918	0.7362637362637363	0.4927536231884058	all	rf_mags-distal	log_reg_mags-distal_fit
mags-distal	mag-based	feature-strat	FALSE	rf	fit	log_reg	primary_prob	Repeat16	Fold2	0.5704481792717087	0.9117647058823529	0.1	all	rf_mags-distal	log_reg_mags-distal_fit
mags-distal	mag-based	feature-strat	FALSE	rf	fit	log_reg	primary_prob	Repeat16	Fold3	0.6127536231884058	0.8260869565217391	0.30666666666666664	all	rf_mags-distal	log_reg_mags-distal_fit
mags-distal	mag-based	feature-strat	FALSE	rf	fit	log_reg	primary_prob	Repeat16	Fold4	0.5769120184013801	0.8829787234042553	0.24324324324324326	all	rf_mags-distal	log_reg_mags-distal_fit
mags-distal	mag-based	feature-strat	FALSE	rf	fit	log_reg	primary_prob	Repeat16	Fold5	0.6254681647940075	0.7752808988764045	0.3888888888888889	all	rf_mags-distal	log_reg_mags-distal_fit
mags-distal	mag-based	feature-strat	FALSE	rf	fit	log_reg	primary_prob	Repeat17	Fold1	0.6790087463556851	0.8775510204081632	0.2	all	rf_mags-distal	log_reg_mags-distal_fit
mags-distal	mag-based	feature-strat	FALSE	rf	fit	log_reg	primary_prob	Repeat17	Fold2	0.5766787658802177	0.7586206896551724	0.34210526315789475	all	rf_mags-distal	log_reg_mags-distal_fit
mags-distal	mag-based	feature-strat	FALSE	rf	fit	log_reg	primary_prob	Repeat17	Fold3	0.5286195286195287	0.8383838383838383	0.2028985507246377	all	rf_mags-distal	log_reg_mags-distal_fit
mags-distal	mag-based	feature-strat	FALSE	rf	fit	log_reg	primary_prob	Repeat17	Fold4	0.6310651737008326	0.7790697674418605	0.4074074074074074	all	rf_mags-distal	log_reg_mags-distal_fit
mags-distal	mag-based	feature-strat	FALSE	rf	fit	log_reg	primary_prob	Repeat17	Fold5	0.6018813775510204	0.7857142857142857	0.390625	all	rf_mags-distal	log_reg_mags-distal_fit
mags-distal	mag-based	feature-strat	FALSE	rf	fit	log_reg	primary_prob	Repeat18	Fold1	0.616762373530216	0.7075471698113207	0.4782608695652174	all	rf_mags-distal	log_reg_mags-distal_fit
mags-distal	mag-based	feature-strat	FALSE	rf	fit	log_reg	primary_prob	Repeat18	Fold2	0.538449684080752	0.970873786407767	0.09523809523809523	all	rf_mags-distal	log_reg_mags-distal_fit
mags-distal	mag-based	feature-strat	FALSE	rf	fit	log_reg	primary_prob	Repeat18	Fold3	0.5761776982707215	0.7790697674418605	0.2948717948717949	all	rf_mags-distal	log_reg_mags-distal_fit
mags-distal	mag-based	feature-strat	FALSE	rf	fit	log_reg	primary_prob	Repeat18	Fold4	0.6669050343249427	0.7065217391304348	0.42105263157894735	all	rf_mags-distal	log_reg_mags-distal_fit
mags-distal	mag-based	feature-strat	FALSE	rf	fit	log_reg	primary_prob	Repeat18	Fold5	0.6474808141474808	0.8271604938271605	0.40540540540540543	all	rf_mags-distal	log_reg_mags-distal_fit
mags-distal	mag-based	feature-strat	FALSE	rf	fit	log_reg	primary_prob	Repeat19	Fold1	0.5894881484026108	0.8658536585365854	0.323943661971831	all	rf_mags-distal	log_reg_mags-distal_fit
mags-distal	mag-based	feature-strat	FALSE	rf	fit	log_reg	primary_prob	Repeat19	Fold2	0.5986686390532545	0.9134615384615384	0.16923076923076924	all	rf_mags-distal	log_reg_mags-distal_fit
mags-distal	mag-based	feature-strat	FALSE	rf	fit	log_reg	primary_prob	Repeat19	Fold3	0.5548299319727891	0.7551020408163265	0.28	all	rf_mags-distal	log_reg_mags-distal_fit
mags-distal	mag-based	feature-strat	FALSE	rf	fit	log_reg	primary_prob	Repeat19	Fold4	0.6238517324738114	0.6705882352941176	0.547945205479452	all	rf_mags-distal	log_reg_mags-distal_fit
mags-distal	mag-based	feature-strat	FALSE	rf	fit	log_reg	primary_prob	Repeat19	Fold5	0.643806485911749	0.9090909090909091	0.13157894736842105	all	rf_mags-distal	log_reg_mags-distal_fit
mags-distal	mag-based	feature-strat	FALSE	rf	fit	log_reg	primary_prob	Repeat20	Fold1	0.5891625615763547	0.9425287356321839	0.17142857142857143	all	rf_mags-distal	log_reg_mags-distal_fit
mags-distal	mag-based	feature-strat	FALSE	rf	fit	log_reg	primary_prob	Repeat20	Fold2	0.645410927101068	0.5384615384615384	0.676056338028169	all	rf_mags-distal	log_reg_mags-distal_fit
mags-distal	mag-based	feature-strat	FALSE	rf	fit	log_reg	primary_prob	Repeat20	Fold3	0.5865158636897767	0.9239130434782609	0.06756756756756757	all	rf_mags-distal	log_reg_mags-distal_fit
mags-distal	mag-based	feature-strat	FALSE	rf	fit	log_reg	primary_prob	Repeat20	Fold4	0.5638238573021181	0.9038461538461539	0.17391304347826086	all	rf_mags-distal	log_reg_mags-distal_fit
mags-distal	mag-based	feature-strat	FALSE	rf	fit	log_reg	primary_prob	Repeat20	Fold5	0.5988241881298992	0.8404255319148937	0.3684210526315789	all	rf_mags-distal	log_reg_mags-distal_fit
mags-distal	mag-based	feature-strat	FALSE	rf	fit	log_reg	FIT_value	Repeat01	Fold1	0.5231764022086602	0.5913978494623656	0.4864864864864865	all	rf_mags-distal	log_reg_mags-distal_fit
mags-distal	mag-based	feature-strat	FALSE	rf	fit	log_reg	FIT_value	Repeat01	Fold2	0.555672268907563	0.7058823529411765	0.45714285714285713	all	rf_mags-distal	log_reg_mags-distal_fit
mags-distal	mag-based	feature-strat	FALSE	rf	fit	log_reg	FIT_value	Repeat01	Fold3	0.5522682445759369	0.5641025641025641	0.48717948717948717	all	rf_mags-distal	log_reg_mags-distal_fit
mags-distal	mag-based	feature-strat	FALSE	rf	fit	log_reg	FIT_value	Repeat01	Fold4	0.5773460410557184	0.6090909090909091	0.5	all	rf_mags-distal	log_reg_mags-distal_fit
mags-distal	mag-based	feature-strat	FALSE	rf	fit	log_reg	FIT_value	Repeat01	Fold5	0.6010835913312693	0.49411764705882355	0.631578947368421	all	rf_mags-distal	log_reg_mags-distal_fit
mags-distal	mag-based	feature-strat	FALSE	rf	fit	log_reg	FIT_value	Repeat02	Fold1	0.5605782085561497	0.42045454545454547	0.6911764705882353	all	rf_mags-distal	log_reg_mags-distal_fit
mags-distal	mag-based	feature-strat	FALSE	rf	fit	log_reg	FIT_value	Repeat02	Fold2	0.5394716750648954	0.7837837837837838	0.2711864406779661	all	rf_mags-distal	log_reg_mags-distal_fit
mags-distal	mag-based	feature-strat	FALSE	rf	fit	log_reg	FIT_value	Repeat02	Fold3	0.592673630717109	0.43478260869565216	0.6753246753246753	all	rf_mags-distal	log_reg_mags-distal_fit
mags-distal	mag-based	feature-strat	FALSE	rf	fit	log_reg	FIT_value	Repeat02	Fold4	0.5798673899939722	0.7341772151898734	0.4166666666666667	all	rf_mags-distal	log_reg_mags-distal_fit
mags-distal	mag-based	feature-strat	FALSE	rf	fit	log_reg	FIT_value	Repeat02	Fold5	0.5273526077097506	0.6224489795918368	0.4861111111111111	all	rf_mags-distal	log_reg_mags-distal_fit
mags-distal	mag-based	feature-strat	FALSE	rf	fit	log_reg	FIT_value	Repeat03	Fold1	0.5872712912991971	0.4953271028037383	0.6056338028169014	all	rf_mags-distal	log_reg_mags-distal_fit
mags-distal	mag-based	feature-strat	FALSE	rf	fit	log_reg	FIT_value	Repeat03	Fold2	0.5492063492063491	0.62	0.42857142857142855	all	rf_mags-distal	log_reg_mags-distal_fit
mags-distal	mag-based	feature-strat	FALSE	rf	fit	log_reg	FIT_value	Repeat03	Fold3	0.5465643274853801	0.8210526315789474	0.19444444444444445	all	rf_mags-distal	log_reg_mags-distal_fit
mags-distal	mag-based	feature-strat	FALSE	rf	fit	log_reg	FIT_value	Repeat03	Fold4	0.53686746987951806	0.6144578313253012	0.49333333333333335	all	rf_mags-distal	log_reg_mags-distal_fit
mags-distal	mag-based	feature-strat	FALSE	rf	fit	log_reg	FIT_value	Repeat03	Fold5	0.598520664938234	0.6144578313253012	0.4936708860759494	all	rf_mags-distal	log_reg_mags-distal_fit
mags-distal	mag-based	feature-strat	FALSE	rf	fit	log_reg	FIT_value	Repeat04	Fold1	0.5541387959866221	0.2826086956521739	0.7564102564102564	all	rf_mags-distal	log_reg_mags-distal_fit
mags-distal	mag-based	feature-strat	FALSE	rf	fit	log_reg	FIT_value	Repeat04	Fold2	0.5447954822954822	0.7403846153846154	0.36507936507936506	all	rf_mags-distal	log_reg_mags-distal_fit
mags-distal	mag-based	feature-strat	FALSE	rf	fit	log_reg	FIT_value	Repeat04	Fold3	0.52425431711146	0.5816326530612245	0.4461538461538462	all	rf_mags-distal	log_reg_mags-distal_fit
mags-distal	mag-based	feature-strat	FALSE	rf	fit	log_reg	FIT_value	Repeat04	Fold4	0.60625	0.7468354430379747	0.4125	all	rf_mags-distal	log_reg_mags-distal_fit
mags-distal	mag-based	feature-strat	FALSE	rf	fit	log_reg	FIT_value	Repeat04	Fold5	0.6004978662873399	0.631578947368421	0.5675675675675675	all	rf_mags-distal	log_reg_mags-distal_fit
mags-distal	mag-based	feature-strat	FALSE	rf	fit	log_reg	FIT_value	Repeat05	Fold1	0.574924924924925	0.5555555555555556	0.581081081081081	all	rf_mags-distal	log_reg_mags-distal_fit
mags-distal	mag-based	feature-strat	FALSE	rf	fit	log_reg	FIT_value	Repeat05	Fold2	0.5794437340153453	0.8043478260869565	0.29411764705882354	all	rf_mags-distal	log_reg_mags-distal_fit
mags-distal	mag-based	feature-strat	FALSE	rf	fit	log_reg	FIT_value	Repeat05	Fold3	0.4814758113900796	0.44565217391304346	0.5492957746478874	all	rf_mags-distal	log_reg_mags-distal_fit
mags-distal	mag-based	feature-strat	FALSE	rf	fit	log_reg	FIT_value	Repeat05	Fold4	0.5863421130511985	0.4036697247706422	0.7096774193548387	all	rf_mags-distal	log_reg_mags-distal_fit
mags-distal	mag-based	feature-strat	FALSE	rf	fit	log_reg	FIT_value	Repeat05	Fold5	0.5892041522491349	0.6705882352941176	0.49411764705882355	all	rf_mags-distal	log_reg_mags-distal_fit
mags-distal	mag-based	feature-strat	FALSE	rf	fit	log_reg	FIT_value	Repeat06	Fold1	0.5620933521923621	0.5544554455445545	0.5142857142857142	all	rf_mags-distal	log_reg_mags-distal_fit
mags-distal	mag-based	feature-strat	FALSE	rf	fit	log_reg	FIT_value	Repeat06	Fold2	0.5483333333333333	0.6136363636363636	0.44	all	rf_mags-distal	log_reg_mags-distal_fit
mags-distal	mag-based	feature-strat	FALSE	rf	fit	log_reg	FIT_value	Repeat06	Fold3	0.597027027027027	0.82	0.35135135135135137	all	rf_mags-distal	log_reg_mags-distal_fit
mags-distal	mag-based	feature-strat	FALSE	rf	fit	log_reg	FIT_value	Repeat06	Fold4	0.5209080047789725	0.3548387096774194	0.6666666666666666	all	rf_mags-distal	log_reg_mags-distal_fit
mags-distal	mag-based	feature-strat	FALSE	rf	fit	log_reg	FIT_value	Repeat06	Fold5	0.5976575665655545	0.5232558139534884	0.6376811594202898	all	rf_mags-distal	log_reg_mags-distal_fit
mags-distal	mag-based	feature-strat	FALSE	rf	fit	log_reg	FIT_value	Repeat07	Fold1	0.5343194403963859	0.648936170212766	0.4246575342465753	all	rf_mags-distal	log_reg_mags-distal_fit
mags-distal	mag-based	feature-strat	FALSE	rf	fit	log_reg	FIT_value	Repeat07	Fold2	0.5793662825955125	0.4020618556701031	0.6911764705882353	all	rf_mags-distal	log_reg_mags-distal_fit
mags-distal	mag-based	feature-strat	FALSE	rf	fit	log_reg	FIT_value	Repeat07	Fold3	0.5295731707317073	0.6097560975609756	0.4	all	rf_mags-distal	log_reg_mags-distal_fit
mags-distal	mag-based	feature-strat	FALSE	rf	fit	log_reg	FIT_value	Repeat07	Fold4	0.5835119412124924	0.8152173913043478	0.29577464788732394	all	rf_mags-distal	log_reg_mags-distal_fit
mags-distal	mag-based	feature-strat	FALSE	rf	fit	log_reg	FIT_value	Repeat07	Fold5	0.5921616219303255	0.6310679611650486	0.5294117647058824	all	rf_mags-distal	log_reg_mags-distal_fit
mags-distal	mag-based	feature-strat	FALSE	rf	fit	log_reg	FIT_value	Repeat08	Fold1	0.5429498792270532	0.6666666666666666	0.37681159420289856	all	rf_mags-distal	log_reg_mags-distal_fit
mags-distal	mag-based	feature-strat	FALSE	rf	fit	log_reg	FIT_value	Repeat08	Fold2	0.5380603985056039	0.9204545454545454	0.2054794520547945	all	rf_mags-distal	log_reg_mags-distal_fit
