dataset	data_type	model_type	ext_comp	alg	sec_add_var	sec_alg	predictor	rep	fold	auroc	sensitivity	specificity	selection	included_in_training	primary_model
mags-distal	mag-based	feature-strat	FALSE	rf	fit	log_reg	primary_prob	Repeat06	Fold1	NA	0.8918918918918919	NA	all	external	rf_mags-distal
mags-distal	mag-based	feature-strat	FALSE	rf	fit	log_reg	primary_prob	Repeat06	Fold2	NA	0.7931034482758621	NA	all	external	rf_mags-distal
mags-distal	mag-based	feature-strat	FALSE	rf	fit	log_reg	primary_prob	Repeat06	Fold3	NA	0.825	NA	all	external	rf_mags-distal
mags-distal	mag-based	feature-strat	FALSE	rf	fit	log_reg	primary_prob	Repeat06	Fold4	NA	0.7741935483870968	NA	all	external	rf_mags-distal
mags-distal	mag-based	feature-strat	FALSE	rf	fit	log_reg	primary_prob	Repeat06	Fold5	NA	0.9047619047619048	NA	all	external	rf_mags-distal
mags-distal	mag-based	feature-strat	FALSE	rf	fit	log_reg	primary_prob	Repeat07	Fold1	NA	0.36363636363636365	NA	all	external	rf_mags-distal
mags-distal	mag-based	feature-strat	FALSE	rf	fit	log_reg	primary_prob	Repeat07	Fold2	NA	0.8709677419354839	NA	all	external	rf_mags-distal
mags-distal	mag-based	feature-strat	FALSE	rf	fit	log_reg	primary_prob	Repeat07	Fold3	NA	0.9642857142857143	NA	all	external	rf_mags-distal
mags-distal	mag-based	feature-strat	FALSE	rf	fit	log_reg	primary_prob	Repeat07	Fold4	NA	0.9655172413793104	NA	all	external	rf_mags-distal
mags-distal	mag-based	feature-strat	FALSE	rf	fit	log_reg	primary_prob	Repeat07	Fold5	NA	0.7837837837837838	NA	all	external	rf_mags-distal
mags-distal	mag-based	feature-strat	FALSE	rf	fit	log_reg	primary_prob	Repeat08	Fold1	NA	0.9032258064516129	NA	all	external	rf_mags-distal
mags-distal	mag-based	feature-strat	FALSE	rf	fit	log_reg	primary_prob	Repeat08	Fold2	NA	0.7777777777777778	NA	all	external	rf_mags-distal
mags-distal	mag-based	feature-strat	FALSE	rf	fit	log_reg	primary_prob	Repeat08	Fold3	NA	0.8823529411764706	NA	all	external	rf_mags-distal
mags-distal	mag-based	feature-strat	FALSE	rf	fit	log_reg	primary_prob	Repeat08	Fold4	NA	0.7837837837837838	NA	all	external	rf_mags-distal
mags-distal	mag-based	feature-strat	FALSE	rf	fit	log_reg	primary_prob	Repeat08	Fold5	NA	0.4482758620689655	NA	all	external	rf_mags-distal
mags-distal	mag-based	feature-strat	FALSE	rf	fit	log_reg	primary_prob	Repeat09	Fold1	NA	0.8205128205128205	NA	all	external	rf_mags-distal
mags-distal	mag-based	feature-strat	FALSE	rf	fit	log_reg	primary_prob	Repeat09	Fold2	NA	0.8666666666666667	NA	all	external	rf_mags-distal
mags-distal	mag-based	feature-strat	FALSE	rf	fit	log_reg	primary_prob	Repeat09	Fold3	NA	0.65625	NA	all	external	rf_mags-distal
mags-distal	mag-based	feature-strat	FALSE	rf	fit	log_reg	primary_prob	Repeat09	Fold4	NA	0.9285714285714286	NA	all	external	rf_mags-distal
mags-distal	mag-based	feature-strat	FALSE	rf	fit	log_reg	primary_prob	Repeat09	Fold5	NA	0.8275862068965517	NA	all	external	rf_mags-distal
mags-distal	mag-based	feature-strat	FALSE	rf	fit	log_reg	primary_prob	Repeat10	Fold1	NA	0.9142857142857143	NA	all	external	rf_mags-distal
mags-distal	mag-based	feature-strat	FALSE	rf	fit	log_reg	primary_prob	Repeat10	Fold2	NA	0.7096774193548387	NA	all	external	rf_mags-distal
mags-distal	mag-based	feature-strat	FALSE	rf	fit	log_reg	primary_prob	Repeat10	Fold3	NA	0.8611111111111112	NA	all	external	rf_mags-distal
mags-distal	mag-based	feature-strat	FALSE	rf	fit	log_reg	primary_prob	Repeat10	Fold4	NA	0.6666666666666666	NA	all	external	rf_mags-distal
mags-distal	mag-based	feature-strat	FALSE	rf	fit	log_reg	primary_prob	Repeat10	Fold5	NA	0.7586206896551724	NA	all	external	rf_mags-distal
mags-distal	mag-based	feature-strat	FALSE	rf	fit	log_reg	primary_prob	Repeat11	Fold1	NA	0.8974358974358975	NA	all	external	rf_mags-distal
mags-distal	mag-based	feature-strat	FALSE	rf	fit	log_reg	primary_prob	Repeat11	Fold2	NA	0.9117647058823529	NA	all	external	rf_mags-distal
mags-distal	mag-based	feature-strat	FALSE	rf	fit	log_reg	primary_prob	Repeat11	Fold3	NA	0.8888888888888888	NA	all	external	rf_mags-distal
mags-distal	mag-based	feature-strat	FALSE	rf	fit	log_reg	primary_prob	Repeat11	Fold4	NA	0.34285714285714286	NA	all	external	rf_mags-distal
mags-distal	mag-based	feature-strat	FALSE	rf	fit	log_reg	primary_prob	Repeat11	Fold5	NA	0.5625	NA	all	external	rf_mags-distal
mags-distal	mag-based	feature-strat	FALSE	rf	fit	log_reg	primary_prob	Repeat12	Fold1	NA	0.75	NA	all	external	rf_mags-distal
mags-distal	mag-based	feature-strat	FALSE	rf	fit	log_reg	primary_prob	Repeat12	Fold2	NA	0.8235294117647058	NA	all	external	rf_mags-distal
mags-distal	mag-based	feature-strat	FALSE	rf	fit	log_reg	primary_prob	Repeat12	Fold3	NA	0.96875	NA	all	external	rf_mags-distal
mags-distal	mag-based	feature-strat	FALSE	rf	fit	log_reg	primary_prob	Repeat12	Fold4	NA	0.84375	NA	all	external	rf_mags-distal
mags-distal	mag-based	feature-strat	FALSE	rf	fit	log_reg	primary_prob	Repeat12	Fold5	NA	0.7857142857142857	NA	all	external	rf_mags-distal
mags-distal	mag-based	feature-strat	FALSE	rf	fit	log_reg	primary_prob	Repeat13	Fold1	NA	0.9310344827586207	NA	all	external	rf_mags-distal
mags-distal	mag-based	feature-strat	FALSE	rf	fit	log_reg	primary_prob	Repeat13	Fold2	NA	0.8974358974358975	NA	all	external	rf_mags-distal
mags-distal	mag-based	feature-strat	FALSE	rf	fit	log_reg	primary_prob	Repeat13	Fold3	NA	0.7741935483870968	NA	all	external	rf_mags-distal
mags-distal	mag-based	feature-strat	FALSE	rf	fit	log_reg	primary_prob	Repeat13	Fold4	NA	0.775	NA	all	external	rf_mags-distal
mags-distal	mag-based	feature-strat	FALSE	rf	fit	log_reg	primary_prob	Repeat13	Fold5	NA	0.3684210526315789	NA	all	external	rf_mags-distal
mags-distal	mag-based	feature-strat	FALSE	rf	fit	log_reg	primary_prob	Repeat14	Fold1	NA	0.8529411764705882	NA	all	external	rf_mags-distal
mags-distal	mag-based	feature-strat	FALSE	rf	fit	log_reg	primary_prob	Repeat14	Fold2	NA	0.9032258064516129	NA	all	external	rf_mags-distal
mags-distal	mag-based	feature-strat	FALSE	rf	fit	log_reg	primary_prob	Repeat14	Fold3	NA	0.8421052631578947	NA	all	external	rf_mags-distal
mags-distal	mag-based	feature-strat	FALSE	rf	fit	log_reg	primary_prob	Repeat14	Fold4	NA	0.7916666666666666	NA	all	external	rf_mags-distal
mags-distal	mag-based	feature-strat	FALSE	rf	fit	log_reg	primary_prob	Repeat14	Fold5	NA	0.6774193548387096	NA	all	external	rf_mags-distal
mags-distal	mag-based	feature-strat	FALSE	rf	fit	log_reg	primary_prob	Repeat15	Fold1	NA	0.8285714285714286	NA	all	external	rf_mags-distal
mags-distal	mag-based	feature-strat	FALSE	rf	fit	log_reg	primary_prob	Repeat15	Fold2	NA	0.6333333333333333	NA	all	external	rf_mags-distal
mags-distal	mag-based	feature-strat	FALSE	rf	fit	log_reg	primary_prob	Repeat15	Fold3	NA	0.9428571428571428	NA	all	external	rf_mags-distal
mags-distal	mag-based	feature-strat	FALSE	rf	fit	log_reg	primary_prob	Repeat15	Fold4	NA	0.9230769230769231	NA	all	external	rf_mags-distal
mags-distal	mag-based	feature-strat	FALSE	rf	fit	log_reg	primary_prob	Repeat15	Fold5	NA	0.8947368421052632	NA	all	external	rf_mags-distal
mags-distal	mag-based	feature-strat	FALSE	rf	fit	log_reg	primary_prob	Repeat16	Fold1	NA	0.6923076923076923	NA	all	external	rf_mags-distal
mags-distal	mag-based	feature-strat	FALSE	rf	fit	log_reg	primary_prob	Repeat16	Fold2	NA	0.8157894736842105	NA	all	external	rf_mags-distal
mags-distal	mag-based	feature-strat	FALSE	rf	fit	log_reg	primary_prob	Repeat16	Fold3	NA	0.8787878787878788	NA	all	external	rf_mags-distal
mags-distal	mag-based	feature-strat	FALSE	rf	fit	log_reg	primary_prob	Repeat16	Fold4	NA	0.47058823529411764	NA	all	external	rf_mags-distal
mags-distal	mag-based	feature-strat	FALSE	rf	fit	log_reg	primary_prob	Repeat16	Fold5	NA	0.8888888888888888	NA	all	external	rf_mags-distal
mags-distal	mag-based	feature-strat	FALSE	rf	fit	log_reg	primary_prob	Repeat17	Fold1	NA	0.9117647058823529	NA	all	external	rf_mags-distal
mags-distal	mag-based	feature-strat	FALSE	rf	fit	log_reg	primary_prob	Repeat17	Fold2	NA	0.8275862068965517	NA	all	external	rf_mags-distal
mags-distal	mag-based	feature-strat	FALSE	rf	fit	log_reg	primary_prob	Repeat17	Fold3	NA	0.7941176470588235	NA	all	external	rf_mags-distal
mags-distal	mag-based	feature-strat	FALSE	rf	fit	log_reg	primary_prob	Repeat17	Fold4	NA	0.7272727272727273	NA	all	external	rf_mags-distal
mags-distal	mag-based	feature-strat	FALSE	rf	fit	log_reg	primary_prob	Repeat17	Fold5	NA	0.8214285714285714	NA	all	external	rf_mags-distal
mags-distal	mag-based	feature-strat	FALSE	rf	fit	log_reg	primary_prob	Repeat18	Fold1	NA	0.8536585365853658	NA	all	external	rf_mags-distal
mags-distal	mag-based	feature-strat	FALSE	rf	fit	log_reg	primary_prob	Repeat18	Fold2	NA	0.96875	NA	all	external	rf_mags-distal
mags-distal	mag-based	feature-strat	FALSE	rf	fit	log_reg	primary_prob	Repeat18	Fold3	NA	0.7333333333333333	NA	all	external	rf_mags-distal
mags-distal	mag-based	feature-strat	FALSE	rf	fit	log_reg	primary_prob	Repeat18	Fold4	NA	0.7352941176470589	NA	all	external	rf_mags-distal
mags-distal	mag-based	feature-strat	FALSE	rf	fit	log_reg	primary_prob	Repeat18	Fold5	NA	0.7619047619047619	NA	all	external	rf_mags-distal
mags-distal	mag-based	feature-strat	FALSE	rf	fit	log_reg	primary_prob	Repeat19	Fold1	NA	0.7894736842105263	NA	all	external	rf_mags-distal
mags-distal	mag-based	feature-strat	FALSE	rf	fit	log_reg	primary_prob	Repeat19	Fold2	NA	0.7714285714285715	NA	all	external	rf_mags-distal
mags-distal	mag-based	feature-strat	FALSE	rf	fit	log_reg	primary_prob	Repeat19	Fold3	NA	0.7692307692307693	NA	all	external	rf_mags-distal
mags-distal	mag-based	feature-strat	FALSE	rf	fit	log_reg	primary_prob	Repeat19	Fold4	NA	0.5833333333333334	NA	all	external	rf_mags-distal
mags-distal	mag-based	feature-strat	FALSE	rf	fit	log_reg	primary_prob	Repeat19	Fold5	NA	0.9024390243902439	NA	all	external	rf_mags-distal
mags-distal	mag-based	feature-strat	FALSE	rf	fit	log_reg	primary_prob	Repeat20	Fold1	NA	0.9130434782608695	NA	all	external	rf_mags-distal
mags-distal	mag-based	feature-strat	FALSE	rf	fit	log_reg	primary_prob	Repeat20	Fold2	NA	0.6071428571428571	NA	all	external	rf_mags-distal
mags-distal	mag-based	feature-strat	FALSE	rf	fit	log_reg	primary_prob	Repeat20	Fold3	NA	0.90625	NA	all	external	rf_mags-distal
mags-distal	mag-based	feature-strat	FALSE	rf	fit	log_reg	primary_prob	Repeat20	Fold4	NA	0.8461538461538461	NA	all	external	rf_mags-distal
mags-distal	mag-based	feature-strat	FALSE	rf	fit	log_reg	primary_prob	Repeat20	Fold5	NA	0.8611111111111112	NA	all	external	rf_mags-distal
mags-FIT-high	mag-based	feature-strat	FALSE	rf	fit	log_reg	primary_prob	Repeat01	Fold1	0.6396396396396397	0.7575757575757576	0.43243243243243246	all	external	rf_mags-FIT-high
mags-FIT-high	mag-based	feature-strat	FALSE	rf	fit	log_reg	primary_prob	Repeat01	Fold2	0.5850574712643678	0.41379310344827586	0.6333333333333333	all	external	rf_mags-FIT-high
mags-FIT-high	mag-based	feature-strat	FALSE	rf	fit	log_reg	primary_prob	Repeat01	Fold3	0.6045454545454545	NA	NA	all	external	rf_mags-FIT-high
mags-FIT-high	mag-based	feature-strat	FALSE	rf	fit	log_reg	primary_prob	Repeat01	Fold4	0.5804195804195804	0.8974358974358975	0.15151515151515152	all	external	rf_mags-FIT-high
mags-FIT-high	mag-based	feature-strat	FALSE	rf	fit	log_reg	primary_prob	Repeat01	Fold5	0.5869565217391305	NA	NA	all	external	rf_mags-FIT-high
mags-FIT-high	mag-based	feature-strat	FALSE	rf	fit	log_reg	primary_prob	Repeat02	Fold1	0.5544444444444444	0.6	0.5	all	external	rf_mags-FIT-high
mags-FIT-high	mag-based	feature-strat	FALSE	rf	fit	log_reg	primary_prob	Repeat02	Fold2	0.7261904761904762	0.42857142857142855	0.8148148148148148	all	external	rf_mags-FIT-high
mags-FIT-high	mag-based	feature-strat	FALSE	rf	fit	log_reg	primary_prob	Repeat02	Fold3	0.6038602941176471	0.8125	0.17647058823529413	all	external	rf_mags-FIT-high
mags-FIT-high	mag-based	feature-strat	FALSE	rf	fit	log_reg	primary_prob	Repeat02	Fold4	0.5656565656565656	0.9090909090909091	0.18518518518518517	all	external	rf_mags-FIT-high
mags-FIT-high	mag-based	feature-strat	FALSE	rf	fit	log_reg	primary_prob	Repeat02	Fold5	0.5795847750865052	0.6764705882352942	0.4117647058823529	all	external	rf_mags-FIT-high
mags-FIT-high	mag-based	feature-strat	FALSE	rf	fit	log_reg	primary_prob	Repeat03	Fold1	0.5941727367325702	0.6129032258064516	0.5161290322580645	all	external	rf_mags-FIT-high
mags-FIT-high	mag-based	feature-strat	FALSE	rf	fit	log_reg	primary_prob	Repeat03	Fold2	0.683066361556064	0.7631578947368421	0.4782608695652174	all	external	rf_mags-FIT-high
mags-FIT-high	mag-based	feature-strat	FALSE	rf	fit	log_reg	primary_prob	Repeat03	Fold3	0.5815170008718397	0.8918918918918919	0.1935483870967742	all	external	rf_mags-FIT-high
mags-FIT-high	mag-based	feature-strat	FALSE	rf	fit	log_reg	primary_prob	Repeat03	Fold4	0.4742647058823529	NA	NA	all	external	rf_mags-FIT-high
mags-FIT-high	mag-based	feature-strat	FALSE	rf	fit	log_reg	primary_prob	Repeat03	Fold5	0.5982042648709315	0.5925925925925926	0.30303030303030304	all	external	rf_mags-FIT-high
mags-FIT-high	mag-based	feature-strat	FALSE	rf	fit	log_reg	primary_prob	Repeat04	Fold1	0.5810810810810811	NA	NA	all	external	rf_mags-FIT-high
mags-FIT-high	mag-based	feature-strat	FALSE	rf	fit	log_reg	primary_prob	Repeat04	Fold2	0.6569407603890363	0.8974358974358975	0.1724137931034483	all	external	rf_mags-FIT-high
mags-FIT-high	mag-based	feature-strat	FALSE	rf	fit	log_reg	primary_prob	Repeat04	Fold3	0.457174638487208	0.5806451612903226	0.41379310344827586	all	external	rf_mags-FIT-high
mags-FIT-high	mag-based	feature-strat	FALSE	rf	fit	log_reg	primary_prob	Repeat04	Fold4	0.5857843137254902	NA	NA	all	external	rf_mags-FIT-high
mags-FIT-high	mag-based	feature-strat	FALSE	rf	fit	log_reg	primary_prob	Repeat04	Fold5	0.6615384615384615	0.9615384615384616	0.03333333333333333	all	external	rf_mags-FIT-high
mags-FIT-high	mag-based	feature-strat	FALSE	rf	fit	log_reg	primary_prob	Repeat05	Fold1	0.6135552913198573	NA	NA	all	external	rf_mags-FIT-high
mags-FIT-high	mag-based	feature-strat	FALSE	rf	fit	log_reg	primary_prob	Repeat05	Fold2	0.5348571428571428	0.9142857142857143	0.16	all	external	rf_mags-FIT-high
mags-FIT-high	mag-based	feature-strat	FALSE	rf	fit	log_reg	primary_prob	Repeat05	Fold3	0.4959183673469388	0.8214285714285714	0.2	all	external	rf_mags-FIT-high
mags-FIT-high	mag-based	feature-strat	FALSE	rf	fit	log_reg	primary_prob	Repeat05	Fold4	0.6843891402714932	NA	NA	all	external	rf_mags-FIT-high
mags-FIT-high	mag-based	feature-strat	FALSE	rf	fit	log_reg	primary_prob	Repeat05	Fold5	0.6251089799476897	0.6451612903225806	0.5405405405405406	all	external	rf_mags-FIT-high
mags-FIT-high	mag-based	feature-strat	FALSE	rf	fit	log_reg	primary_prob	Repeat06	Fold1	0.6751012145748988	NA	NA	all	external	rf_mags-FIT-high
mags-FIT-high	mag-based	feature-strat	FALSE	rf	fit	log_reg	primary_prob	Repeat06	Fold2	0.5587557603686636	0.8571428571428571	0.06451612903225806	all	external	rf_mags-FIT-high
mags-FIT-high	mag-based	feature-strat	FALSE	rf	fit	log_reg	primary_prob	Repeat06	Fold3	0.5941558441558442	0.8787878787878788	0.17857142857142858	all	external	rf_mags-FIT-high
mags-FIT-high	mag-based	feature-strat	FALSE	rf	fit	log_reg	primary_prob	Repeat06	Fold4	0.5268336314847943	0.46511627906976744	0.5769230769230769	all	external	rf_mags-FIT-high
mags-FIT-high	mag-based	feature-strat	FALSE	rf	fit	log_reg	primary_prob	Repeat06	Fold5	0.685823754789272	0.1111111111111111	0.9655172413793104	all	external	rf_mags-FIT-high
mags-FIT-high	mag-based	feature-strat	FALSE	rf	fit	log_reg	primary_prob	Repeat07	Fold1	0.5070993914807302	0.2647058823529412	0.7241379310344828	all	external	rf_mags-FIT-high
mags-FIT-high	mag-based	feature-strat	FALSE	rf	fit	log_reg	primary_prob	Repeat07	Fold2	0.5350052246603971	NA	NA	all	external	rf_mags-FIT-high
mags-FIT-high	mag-based	feature-strat	FALSE	rf	fit	log_reg	primary_prob	Repeat07	Fold3	0.6843501326259948	0.9655172413793104	0.07692307692307693	all	external	rf_mags-FIT-high
mags-FIT-high	mag-based	feature-strat	FALSE	rf	fit	log_reg	primary_prob	Repeat07	Fold4	0.6122222222222222	0.9333333333333333	0.16666666666666666	all	external	rf_mags-FIT-high
mags-FIT-high	mag-based	feature-strat	FALSE	rf	fit	log_reg	primary_prob	Repeat07	Fold5	0.6495798319327731	NA	NA	all	external	rf_mags-FIT-high
mags-FIT-high	mag-based	feature-strat	FALSE	rf	fit	log_reg	primary_prob	Repeat08	Fold1	0.6342857142857143	NA	NA	all	external	rf_mags-FIT-high
mags-FIT-high	mag-based	feature-strat	FALSE	rf	fit	log_reg	primary_prob	Repeat08	Fold2	0.6480075901328273	0.8064516129032258	0.4117647058823529	all	external	rf_mags-FIT-high
mags-FIT-high	mag-based	feature-strat	FALSE	rf	fit	log_reg	primary_prob	Repeat08	Fold3	0.46200980392156865	0.7647058823529411	0.20833333333333334	all	external	rf_mags-FIT-high
mags-FIT-high	mag-based	feature-strat	FALSE	rf	fit	log_reg	primary_prob	Repeat08	Fold4	0.6559139784946236	0.717948717948718	0.4838709677419355	all	external	rf_mags-FIT-high
mags-FIT-high	mag-based	feature-strat	FALSE	rf	fit	log_reg	primary_prob	Repeat08	Fold5	0.6207482993197279	NA	NA	all	external	rf_mags-FIT-high
mags-FIT-high	mag-based	feature-strat	FALSE	rf	fit	log_reg	primary_prob	Repeat09	Fold1	0.5740740740740741	0.7777777777777778	0.25	all	external	rf_mags-FIT-high
mags-FIT-high	mag-based	feature-strat	FALSE	rf	fit	log_reg	primary_prob	Repeat09	Fold2	0.6238390092879257	NA	NA	all	external	rf_mags-FIT-high
mags-FIT-high	mag-based	feature-strat	FALSE	rf	fit	log_reg	primary_prob	Repeat09	Fold3	0.6390977443609023	0.6285714285714286	0.631578947368421	all	external	rf_mags-FIT-high
mags-FIT-high	mag-based	feature-strat	FALSE	rf	fit	log_reg	primary_prob	Repeat09	Fold4	0.5139353400222966	0.9743589743589743	0.08695652173913043	all	external	rf_mags-FIT-high
mags-FIT-high	mag-based	feature-strat	FALSE	rf	fit	log_reg	primary_prob	Repeat09	Fold5	0.5561735261401557	NA	NA	all	external	rf_mags-FIT-high
mags-FIT-high	mag-based	feature-strat	FALSE	rf	fit	log_reg	primary_prob	Repeat10	Fold1	0.5279720279720279	0.8846153846153846	0.030303030303030304	all	external	rf_mags-FIT-high
mags-FIT-high	mag-based	feature-strat	FALSE	rf	fit	log_reg	primary_prob	Repeat10	Fold2	0.6215686274509804	0.6	0.5294117647058824	all	external	rf_mags-FIT-high
mags-FIT-high	mag-based	feature-strat	FALSE	rf	fit	log_reg	primary_prob	Repeat10	Fold3	0.5238095238095238	0.2916666666666667	0.6285714285714286	all	external	rf_mags-FIT-high
mags-FIT-high	mag-based	feature-strat	FALSE	rf	fit	log_reg	primary_prob	Repeat10	Fold4	0.5682382133995038	0.1794871794871795	0.8387096774193549	all	external	rf_mags-FIT-high
mags-FIT-high	mag-based	feature-strat	FALSE	rf	fit	log_reg	primary_prob	Repeat10	Fold5	0.7465373961218836	NA	NA	all	external	rf_mags-FIT-high
mags-FIT-high	mag-based	feature-strat	FALSE	rf	fit	log_reg	primary_prob	Repeat11	Fold1	0.6880570409982175	0.8529411764705882	0.45454545454545453	all	external	rf_mags-FIT-high
mags-FIT-high	mag-based	feature-strat	FALSE	rf	fit	log_reg	primary_prob	Repeat11	Fold2	0.5514705882352942	0.8235294117647058	0.25	all	external	rf_mags-FIT-high
mags-FIT-high	mag-based	feature-strat	FALSE	rf	fit	log_reg	primary_prob	Repeat11	Fold3	0.6235431235431236	0.4230769230769231	0.7878787878787878	all	external	rf_mags-FIT-high
mags-FIT-high	mag-based	feature-strat	FALSE	rf	fit	log_reg	primary_prob	Repeat11	Fold4	0.5009398496240601	NA	NA	all	external	rf_mags-FIT-high
mags-FIT-high	mag-based	feature-strat	FALSE	rf	fit	log_reg	primary_prob	Repeat11	Fold5	0.596	0.44	0.6666666666666666	all	external	rf_mags-FIT-high
mags-FIT-high	mag-based	feature-strat	FALSE	rf	fit	log_reg	primary_prob	Repeat12	Fold1	0.6923076923076923	0.9666666666666667	0.07692307692307693	all	external	rf_mags-FIT-high
mags-FIT-high	mag-based	feature-strat	FALSE	rf	fit	log_reg	primary_prob	Repeat12	Fold2	0.533724340175953	0.9696969696969697	0.03225806451612903	all	external	rf_mags-FIT-high
mags-FIT-high	mag-based	feature-strat	FALSE	rf	fit	log_reg	primary_prob	Repeat12	Fold3	0.7353497164461248	0.782608695652174	0.34782608695652173	all	external	rf_mags-FIT-high
mags-FIT-high	mag-based	feature-strat	FALSE	rf	fit	log_reg	primary_prob	Repeat12	Fold4	0.5541125541125541	0.2857142857142857	0.696969696969697	all	external	rf_mags-FIT-high
mags-FIT-high	mag-based	feature-strat	FALSE	rf	fit	log_reg	primary_prob	Repeat12	Fold5	0.5854700854700855	NA	NA	all	external	rf_mags-FIT-high
mags-FIT-high	mag-based	feature-strat	FALSE	rf	fit	log_reg	primary_prob	Repeat13	Fold1	0.5740740740740741	0.5769230769230769	0.5555555555555556	all	external	rf_mags-FIT-high
mags-FIT-high	mag-based	feature-strat	FALSE	rf	fit	log_reg	primary_prob	Repeat13	Fold2	0.6436781609195402	0.8484848484848485	0.20689655172413793	all	external	rf_mags-FIT-high
mags-FIT-high	mag-based	feature-strat	FALSE	rf	fit	log_reg	primary_prob	Repeat13	Fold3	0.6236559139784946	NA	NA	all	external	rf_mags-FIT-high
mags-FIT-high	mag-based	feature-strat	FALSE	rf	fit	log_reg	primary_prob	Repeat13	Fold4	0.5975975975975976	0.5135135135135135	0.6944444444444444	all	external	rf_mags-FIT-high
mags-FIT-high	mag-based	feature-strat	FALSE	rf	fit	log_reg	primary_prob	Repeat13	Fold5	0.49506172839506174	0.8333333333333334	0.2222222222222222	all	external	rf_mags-FIT-high
mags-FIT-high	mag-based	feature-strat	FALSE	rf	fit	log_reg	primary_prob	Repeat14	Fold1	0.6144444444444445	0.08333333333333333	1	all	external	rf_mags-FIT-high
