feature	metadata	value	coef	stderr	pval	name	qval	N	N.not.zero	model	dataset	strat
SGB713	detect_worthy_lesions	positive	0.7614235329347551	0.2359150667790311	0.0012929723245319392	detect_worthy_lesionspositive	0.039458910796147384	1034	123	detect_worthy_lesions,Total_Reads_QC_ATLAS,senter,age_invitation,kjonn,wcrf_index_main,Smoking,Utdanning,colo_hemorrhoids,colo_IBD,antibiotics_reg_quest_comb	metaphlan	no_strat
SGB14322	detect_worthy_lesions	positive	0.824610156755278	0.2570263476052688	0.001381731063651871	detect_worthy_lesionspositive	0.04113195208428938	1034	461	detect_worthy_lesions,Total_Reads_QC_ATLAS,senter,age_invitation,kjonn,wcrf_index_main,Smoking,Utdanning,colo_hemorrhoids,colo_IBD,antibiotics_reg_quest_comb	metaphlan	no_strat
SGB4761	detect_worthy_lesions	positive	-0.7412543461558707	0.2363780401995418	0.0017680156450329127	detect_worthy_lesionspositive	0.04601179365785041	1034	284	detect_worthy_lesions,Total_Reads_QC_ATLAS,senter,age_invitation,kjonn,wcrf_index_main,Smoking,Utdanning,colo_hemorrhoids,colo_IBD,antibiotics_reg_quest_comb	metaphlan	no_strat
SGB4711	detect_worthy_lesions	positive	0.7365690243952266	0.24709109298947463	0.00294944081125945	detect_worthy_lesionspositive	0.06163314246976644	1034	536	detect_worthy_lesions,Total_Reads_QC_ATLAS,senter,age_invitation,kjonn,wcrf_index_main,Smoking,Utdanning,colo_hemorrhoids,colo_IBD,antibiotics_reg_quest_comb	metaphlan	no_strat
SGB4988	detect_worthy_lesions	positive	-0.8453316052911759	0.2838271450149098	0.0029746117770708532	detect_worthy_lesionspositive	0.061854427246738036	1034	332	detect_worthy_lesions,Total_Reads_QC_ATLAS,senter,age_invitation,kjonn,wcrf_index_main,Smoking,Utdanning,colo_hemorrhoids,colo_IBD,antibiotics_reg_quest_comb	metaphlan	no_strat
SGB4762	detect_worthy_lesions	positive	-0.5129817425941997	0.1743020260804597	0.0033318251517479728	detect_worthy_lesionspositive	0.06635494034607935	1034	217	detect_worthy_lesions,Total_Reads_QC_ATLAS,senter,age_invitation,kjonn,wcrf_index_main,Smoking,Utdanning,colo_hemorrhoids,colo_IBD,antibiotics_reg_quest_comb	metaphlan	no_strat
SGB4670	detect_worthy_lesions	positive	0.6623221191752823	0.22992444509232896	0.004061670144514939	detect_worthy_lesionspositive	0.07378845718643413	1034	819	detect_worthy_lesions,Total_Reads_QC_ATLAS,senter,age_invitation,kjonn,wcrf_index_main,Smoking,Utdanning,colo_hemorrhoids,colo_IBD,antibiotics_reg_quest_comb	metaphlan	no_strat
SGB101324	detect_worthy_lesions	positive	0.6363610421236069	0.22141849597140106	0.0041465834584874205	detect_worthy_lesionspositive	0.07437550541608304	1034	131	detect_worthy_lesions,Total_Reads_QC_ATLAS,senter,age_invitation,kjonn,wcrf_index_main,Smoking,Utdanning,colo_hemorrhoids,colo_IBD,antibiotics_reg_quest_comb	metaphlan	no_strat
SGB15326	detect_worthy_lesions	positive	0.8049268120437048	0.28081057516314295	0.0042462562371902565	detect_worthy_lesionspositive	0.07568327293344987	1034	295	detect_worthy_lesions,Total_Reads_QC_ATLAS,senter,age_invitation,kjonn,wcrf_index_main,Smoking,Utdanning,colo_hemorrhoids,colo_IBD,antibiotics_reg_quest_comb	metaphlan	no_strat
SGB4749	detect_worthy_lesions	positive	0.80304985457796485	0.2829536733036258	0.004638607664549357	detect_worthy_lesionspositive	0.08031417842048315	1034	706	detect_worthy_lesions,Total_Reads_QC_ATLAS,senter,age_invitation,kjonn,wcrf_index_main,Smoking,Utdanning,colo_hemorrhoids,colo_IBD,antibiotics_reg_quest_comb	metaphlan	no_strat
SGB4348	detect_worthy_lesions	positive	1.1809465745631225	0.4198526668539452	0.0050167922231754355	detect_worthy_lesionspositive	0.0840264217257675	1034	326	detect_worthy_lesions,Total_Reads_QC_ATLAS,senter,age_invitation,kjonn,wcrf_index_main,Smoking,Utdanning,colo_hemorrhoids,colo_IBD,antibiotics_reg_quest_comb	metaphlan	no_strat
SGB15317	detect_worthy_lesions	positive	0.9620904964631363	0.34573575464904666	0.005501156069052109	detect_worthy_lesionspositive	0.08940959404183542	1034	566	detect_worthy_lesions,Total_Reads_QC_ATLAS,senter,age_invitation,kjonn,wcrf_index_main,Smoking,Utdanning,colo_hemorrhoids,colo_IBD,antibiotics_reg_quest_comb	metaphlan	no_strat
SGB4959	detect_worthy_lesions	positive	0.9925735523503744	0.35867527871931826	0.0057656284730249925	detect_worthy_lesionspositive	0.09194660143824067	1034	688	detect_worthy_lesions,Total_Reads_QC_ATLAS,senter,age_invitation,kjonn,wcrf_index_main,Smoking,Utdanning,colo_hemorrhoids,colo_IBD,antibiotics_reg_quest_comb	metaphlan	no_strat
SGB13981	detect_worthy_lesions	positive	0.612702436894876	0.22727088394662195	0.00714832716094736	detect_worthy_lesionspositive	0.10366907287773915	1034	257	detect_worthy_lesions,Total_Reads_QC_ATLAS,senter,age_invitation,kjonn,wcrf_index_main,Smoking,Utdanning,colo_hemorrhoids,colo_IBD,antibiotics_reg_quest_comb	metaphlan	no_strat
SGB14816_group	detect_worthy_lesions	positive	0.5628744858602934	0.2111923432456399	0.00782913254939371	detect_worthy_lesionspositive	0.10871090106228518	1034	243	detect_worthy_lesions,Total_Reads_QC_ATLAS,senter,age_invitation,kjonn,wcrf_index_main,Smoking,Utdanning,colo_hemorrhoids,colo_IBD,antibiotics_reg_quest_comb	metaphlan	no_strat
SGB4758	detect_worthy_lesions	positive	-0.7668019813868233	0.2882082613222416	0.00793695529385689	detect_worthy_lesionspositive	0.10883566922452982	1034	446	detect_worthy_lesions,Total_Reads_QC_ATLAS,senter,age_invitation,kjonn,wcrf_index_main,Smoking,Utdanning,colo_hemorrhoids,colo_IBD,antibiotics_reg_quest_comb	metaphlan	no_strat
SGB4811	detect_worthy_lesions	positive	0.6845152000415106	0.2614425141371173	0.008984771487085173	detect_worthy_lesionspositive	0.1165547420434719	1034	932	detect_worthy_lesions,Total_Reads_QC_ATLAS,senter,age_invitation,kjonn,wcrf_index_main,Smoking,Utdanning,colo_hemorrhoids,colo_IBD,antibiotics_reg_quest_comb	metaphlan	no_strat
SGB17152	detect_worthy_lesions	positive	0.46963546037793275	0.1817479219426707	0.00992016581686317	detect_worthy_lesionspositive	0.12431711490438278	1034	154	detect_worthy_lesions,Total_Reads_QC_ATLAS,senter,age_invitation,kjonn,wcrf_index_main,Smoking,Utdanning,colo_hemorrhoids,colo_IBD,antibiotics_reg_quest_comb	metaphlan	no_strat
SGB2318	detect_worthy_lesions	positive	0.9468401457364003	0.36751885969793396	0.010141895608390664	detect_worthy_lesionspositive	0.12616399170320586	1034	874	detect_worthy_lesions,Total_Reads_QC_ATLAS,senter,age_invitation,kjonn,wcrf_index_main,Smoking,Utdanning,colo_hemorrhoids,colo_IBD,antibiotics_reg_quest_comb	metaphlan	no_strat
SGB14042	detect_worthy_lesions	positive	0.5260630778446685	0.20631636443622853	0.010940698800149475	detect_worthy_lesionspositive	0.1316956949912712	1034	141	detect_worthy_lesions,Total_Reads_QC_ATLAS,senter,age_invitation,kjonn,wcrf_index_main,Smoking,Utdanning,colo_hemorrhoids,colo_IBD,antibiotics_reg_quest_comb	metaphlan	no_strat
SGB8000	detect_worthy_lesions	positive	-0.5971415891803619	0.23662487769483984	0.011784846163909327	detect_worthy_lesionspositive	0.1375276958110134	1034	227	detect_worthy_lesions,Total_Reads_QC_ATLAS,senter,age_invitation,kjonn,wcrf_index_main,Smoking,Utdanning,colo_hemorrhoids,colo_IBD,antibiotics_reg_quest_comb	metaphlan	no_strat
SGB14807	detect_worthy_lesions	positive	-0.5585391757695166	0.2235962836787878	0.012664674957632762	detect_worthy_lesionspositive	0.14269203498081853	1034	310	detect_worthy_lesions,Total_Reads_QC_ATLAS,senter,age_invitation,kjonn,wcrf_index_main,Smoking,Utdanning,colo_hemorrhoids,colo_IBD,antibiotics_reg_quest_comb	metaphlan	no_strat
SGB1699	detect_worthy_lesions	positive	0.40503846363437473	0.1627714777036651	0.013009113901454521	detect_worthy_lesionspositive	0.1443604196377613	1034	127	detect_worthy_lesions,Total_Reads_QC_ATLAS,senter,age_invitation,kjonn,wcrf_index_main,Smoking,Utdanning,colo_hemorrhoids,colo_IBD,antibiotics_reg_quest_comb	metaphlan	no_strat
SGB4613	detect_worthy_lesions	positive	-0.3853762153740365	0.15558304520837282	0.01342942874217752	detect_worthy_lesionspositive	0.14663812298253784	1034	142	detect_worthy_lesions,Total_Reads_QC_ATLAS,senter,age_invitation,kjonn,wcrf_index_main,Smoking,Utdanning,colo_hemorrhoids,colo_IBD,antibiotics_reg_quest_comb	metaphlan	no_strat
SGB15121	detect_worthy_lesions	positive	-0.5012489288404941	0.20247383636904606	0.013480246472989324	detect_worthy_lesionspositive	0.14692973629537068	1034	269	detect_worthy_lesions,Total_Reads_QC_ATLAS,senter,age_invitation,kjonn,wcrf_index_main,Smoking,Utdanning,colo_hemorrhoids,colo_IBD,antibiotics_reg_quest_comb	metaphlan	no_strat
SGB15318	detect_worthy_lesions	positive	0.7747362477885452	0.315587369109255	0.014277266723926617	detect_worthy_lesionspositive	0.15255457290402194	1034	810	detect_worthy_lesions,Total_Reads_QC_ATLAS,senter,age_invitation,kjonn,wcrf_index_main,Smoking,Utdanning,colo_hemorrhoids,colo_IBD,antibiotics_reg_quest_comb	metaphlan	no_strat
SGB15090	detect_worthy_lesions	positive	0.6623440663314683	0.2707120354689455	0.014605159744798535	detect_worthy_lesionspositive	0.15411713342645617	1034	277	detect_worthy_lesions,Total_Reads_QC_ATLAS,senter,age_invitation,kjonn,wcrf_index_main,Smoking,Utdanning,colo_hemorrhoids,colo_IBD,antibiotics_reg_quest_comb	metaphlan	no_strat
SGB15350	detect_worthy_lesions	positive	0.6152442754955552	0.25234936410232967	0.014955282234506663	detect_worthy_lesionspositive	0.1560647164545566	1034	681	detect_worthy_lesions,Total_Reads_QC_ATLAS,senter,age_invitation,kjonn,wcrf_index_main,Smoking,Utdanning,colo_hemorrhoids,colo_IBD,antibiotics_reg_quest_comb	metaphlan	no_strat
SGB8601	detect_worthy_lesions	positive	0.8507855188969651	0.34964692415457016	0.01515350275492716	detect_worthy_lesionspositive	0.1572871275443034	1034	342	detect_worthy_lesions,Total_Reads_QC_ATLAS,senter,age_invitation,kjonn,wcrf_index_main,Smoking,Utdanning,colo_hemorrhoids,colo_IBD,antibiotics_reg_quest_comb	metaphlan	no_strat
SGB6317	detect_worthy_lesions	positive	0.8042291652335507	0.3315592862233902	0.015475539224852048	detect_worthy_lesionspositive	0.15927178652874	1034	224	detect_worthy_lesions,Total_Reads_QC_ATLAS,senter,age_invitation,kjonn,wcrf_index_main,Smoking,Utdanning,colo_hemorrhoids,colo_IBD,antibiotics_reg_quest_comb	metaphlan	no_strat
SGB4705	detect_worthy_lesions	positive	0.7575303229206557	0.3125124286355398	0.015543281640914517	detect_worthy_lesionspositive	0.1594548989619332	1034	831	detect_worthy_lesions,Total_Reads_QC_ATLAS,senter,age_invitation,kjonn,wcrf_index_main,Smoking,Utdanning,colo_hemorrhoids,colo_IBD,antibiotics_reg_quest_comb	metaphlan	no_strat
SGB4715	detect_worthy_lesions	positive	0.4570842565976536	0.19023027086181116	0.01646835718232691	detect_worthy_lesionspositive	0.1643735792174841	1034	240	detect_worthy_lesions,Total_Reads_QC_ATLAS,senter,age_invitation,kjonn,wcrf_index_main,Smoking,Utdanning,colo_hemorrhoids,colo_IBD,antibiotics_reg_quest_comb	metaphlan	no_strat
SGB15132	detect_worthy_lesions	positive	-0.7025088842163008	0.29500415317896594	0.017452637393107533	detect_worthy_lesionspositive	0.16998441271362116	1034	731	detect_worthy_lesions,Total_Reads_QC_ATLAS,senter,age_invitation,kjonn,wcrf_index_main,Smoking,Utdanning,colo_hemorrhoids,colo_IBD,antibiotics_reg_quest_comb	metaphlan	no_strat
SGB15158	detect_worthy_lesions	positive	-0.43403429066769905	0.18245994834081192	0.0175735558947528	detect_worthy_lesionspositive	0.1700809707755132	1034	133	detect_worthy_lesions,Total_Reads_QC_ATLAS,senter,age_invitation,kjonn,wcrf_index_main,Smoking,Utdanning,colo_hemorrhoids,colo_IBD,antibiotics_reg_quest_comb	metaphlan	no_strat
SGB5075	detect_worthy_lesions	positive	0.9226419722674387	0.39420774676327125	0.0194718895235621	detect_worthy_lesionspositive	0.1811311867532126	1034	519	detect_worthy_lesions,Total_Reads_QC_ATLAS,senter,age_invitation,kjonn,wcrf_index_main,Smoking,Utdanning,colo_hemorrhoids,colo_IBD,antibiotics_reg_quest_comb	metaphlan	no_strat
SGB4760	detect_worthy_lesions	positive	-0.45659118809205157	0.1958441466963784	0.019948330935943143	detect_worthy_lesionspositive	0.18296393476815312	1034	178	detect_worthy_lesions,Total_Reads_QC_ATLAS,senter,age_invitation,kjonn,wcrf_index_main,Smoking,Utdanning,colo_hemorrhoids,colo_IBD,antibiotics_reg_quest_comb	metaphlan	no_strat
SGB4280	detect_worthy_lesions	positive	0.5117506882141051	0.22057849601845275	0.02055774593113431	detect_worthy_lesionspositive	0.18602717776849437	1034	125	detect_worthy_lesions,Total_Reads_QC_ATLAS,senter,age_invitation,kjonn,wcrf_index_main,Smoking,Utdanning,colo_hemorrhoids,colo_IBD,antibiotics_reg_quest_comb	metaphlan	no_strat
SGB4767	detect_worthy_lesions	positive	0.7228226566997026	0.31259362175040006	0.020979890616312603	detect_worthy_lesionspositive	0.1880073810914791	1034	738	detect_worthy_lesions,Total_Reads_QC_ATLAS,senter,age_invitation,kjonn,wcrf_index_main,Smoking,Utdanning,colo_hemorrhoids,colo_IBD,antibiotics_reg_quest_comb	metaphlan	no_strat
SGB5045	detect_worthy_lesions	positive	0.8963598652918986	0.3880332664257828	0.021109236661343442	detect_worthy_lesionspositive	0.18884715225890725	1034	597	detect_worthy_lesions,Total_Reads_QC_ATLAS,senter,age_invitation,kjonn,wcrf_index_main,Smoking,Utdanning,colo_hemorrhoids,colo_IBD,antibiotics_reg_quest_comb	metaphlan	no_strat
SGB5180	detect_worthy_lesions	positive	0.5304746395865807	0.2305030262515243	0.021593961139932446	detect_worthy_lesionspositive	0.1917308619702484	1034	248	detect_worthy_lesions,Total_Reads_QC_ATLAS,senter,age_invitation,kjonn,wcrf_index_main,Smoking,Utdanning,colo_hemorrhoids,colo_IBD,antibiotics_reg_quest_comb	metaphlan	no_strat
SGB63101	detect_worthy_lesions	positive	-0.586850431071611	0.2556226062413595	0.021914215322195264	detect_worthy_lesionspositive	0.19286328090612515	1034	421	detect_worthy_lesions,Total_Reads_QC_ATLAS,senter,age_invitation,kjonn,wcrf_index_main,Smoking,Utdanning,colo_hemorrhoids,colo_IBD,antibiotics_reg_quest_comb	metaphlan	no_strat
SGB49168	detect_worthy_lesions	positive	0.39585785061743156	0.17351096036460734	0.02275013243540209	detect_worthy_lesionspositive	0.1966691865285135	1034	121	detect_worthy_lesions,Total_Reads_QC_ATLAS,senter,age_invitation,kjonn,wcrf_index_main,Smoking,Utdanning,colo_hemorrhoids,colo_IBD,antibiotics_reg_quest_comb	metaphlan	no_strat
SGB15370	detect_worthy_lesions	positive	0.6179637086190445	0.27194317231422727	0.02329336885844189	detect_worthy_lesionspositive	0.19961711252022324	1034	279	detect_worthy_lesions,Total_Reads_QC_ATLAS,senter,age_invitation,kjonn,wcrf_index_main,Smoking,Utdanning,colo_hemorrhoids,colo_IBD,antibiotics_reg_quest_comb	metaphlan	no_strat
SGB15346	detect_worthy_lesions	positive	0.7406440920435363	0.33293067425276535	0.026349771343815324	detect_worthy_lesionspositive	0.21644361256105601	1034	760	detect_worthy_lesions,Total_Reads_QC_ATLAS,senter,age_invitation,kjonn,wcrf_index_main,Smoking,Utdanning,colo_hemorrhoids,colo_IBD,antibiotics_reg_quest_comb	metaphlan	no_strat
SGB1814	detect_worthy_lesions	positive	0.8222724854557879	0.3698581835040635	0.02644496311312391	detect_worthy_lesionspositive	0.2167720454606215	1034	814	detect_worthy_lesions,Total_Reads_QC_ATLAS,senter,age_invitation,kjonn,wcrf_index_main,Smoking,Utdanning,colo_hemorrhoids,colo_IBD,antibiotics_reg_quest_comb	metaphlan	no_strat
SGB8007_group	detect_worthy_lesions	positive	-0.6551583198261755	0.2948516271026018	0.02652739895998268	detect_worthy_lesionspositive	0.2172378887803987	1034	834	detect_worthy_lesions,Total_Reads_QC_ATLAS,senter,age_invitation,kjonn,wcrf_index_main,Smoking,Utdanning,colo_hemorrhoids,colo_IBD,antibiotics_reg_quest_comb	metaphlan	no_strat
SGB4963	detect_worthy_lesions	positive	0.39976560570289493	0.180942019849585	0.027396552495029133	detect_worthy_lesionspositive	0.2213002172390749	1034	146	detect_worthy_lesions,Total_Reads_QC_ATLAS,senter,age_invitation,kjonn,wcrf_index_main,Smoking,Utdanning,colo_hemorrhoids,colo_IBD,antibiotics_reg_quest_comb	metaphlan	no_strat
SGB14128	detect_worthy_lesions	positive	0.4152837073792291	0.18861266668900392	0.02792944745068309	detect_worthy_lesionspositive	0.2232859042770845	1034	167	detect_worthy_lesions,Total_Reads_QC_ATLAS,senter,age_invitation,kjonn,wcrf_index_main,Smoking,Utdanning,colo_hemorrhoids,colo_IBD,antibiotics_reg_quest_comb	metaphlan	no_strat
SGB15085	detect_worthy_lesions	positive	0.41186984747701405	0.18731687165904343	0.028142465313981208	detect_worthy_lesionspositive	0.2241884279096869	1034	163	detect_worthy_lesions,Total_Reads_QC_ATLAS,senter,age_invitation,kjonn,wcrf_index_main,Smoking,Utdanning,colo_hemorrhoids,colo_IBD,antibiotics_reg_quest_comb	metaphlan	no_strat
SGB8599	detect_worthy_lesions	positive	0.4981012602575287	0.22855580157357272	0.029560404623458367	detect_worthy_lesionspositive	0.23199858725755854	1034	138	detect_worthy_lesions,Total_Reads_QC_ATLAS,senter,age_invitation,kjonn,wcrf_index_main,Smoking,Utdanning,colo_hemorrhoids,colo_IBD,antibiotics_reg_quest_comb	metaphlan	no_strat
SGB1776	detect_worthy_lesions	positive	0.41663535499912085	0.19176056854274176	0.030059769187343387	detect_worthy_lesionspositive	0.23386456187680185	1034	106	detect_worthy_lesions,Total_Reads_QC_ATLAS,senter,age_invitation,kjonn,wcrf_index_main,Smoking,Utdanning,colo_hemorrhoids,colo_IBD,antibiotics_reg_quest_comb	metaphlan	no_strat
SGB4772	detect_worthy_lesions	positive	0.3281535698879878	0.15117651408924138	0.030212746914835883	detect_worthy_lesionspositive	0.23430068082766692	1034	179	detect_worthy_lesions,Total_Reads_QC_ATLAS,senter,age_invitation,kjonn,wcrf_index_main,Smoking,Utdanning,colo_hemorrhoids,colo_IBD,antibiotics_reg_quest_comb	metaphlan	no_strat
SGB14252	detect_worthy_lesions	positive	0.5101903087383806	0.23508682690786423	0.030246478083643655	detect_worthy_lesionspositive	0.23434805485080618	1034	385	detect_worthy_lesions,Total_Reads_QC_ATLAS,senter,age_invitation,kjonn,wcrf_index_main,Smoking,Utdanning,colo_hemorrhoids,colo_IBD,antibiotics_reg_quest_comb	metaphlan	no_strat
SGB4155	detect_worthy_lesions	positive	-0.4184984884303631	0.1932809932137202	0.030627363398440962	detect_worthy_lesionspositive	0.23622050097488467	1034	151	detect_worthy_lesions,Total_Reads_QC_ATLAS,senter,age_invitation,kjonn,wcrf_index_main,Smoking,Utdanning,colo_hemorrhoids,colo_IBD,antibiotics_reg_quest_comb	metaphlan	no_strat
SGB1934	detect_worthy_lesions	positive	0.49351730794295307	0.22959788303936912	0.031857284927387874	detect_worthy_lesionspositive	0.24091883488614585	1034	899	detect_worthy_lesions,Total_Reads_QC_ATLAS,senter,age_invitation,kjonn,wcrf_index_main,Smoking,Utdanning,colo_hemorrhoids,colo_IBD,antibiotics_reg_quest_comb	metaphlan	no_strat
SGB4778	detect_worthy_lesions	positive	0.5527876218934776	0.25849460707418587	0.032741123898233	detect_worthy_lesionspositive	0.24473629528864208	1034	573	detect_worthy_lesions,Total_Reads_QC_ATLAS,senter,age_invitation,kjonn,wcrf_index_main,Smoking,Utdanning,colo_hemorrhoids,colo_IBD,antibiotics_reg_quest_comb	metaphlan	no_strat
SGB62935	detect_worthy_lesions	positive	0.392545353626659	0.18352822819159242	0.03270904401544883	detect_worthy_lesionspositive	0.24473629528864208	1034	193	detect_worthy_lesions,Total_Reads_QC_ATLAS,senter,age_invitation,kjonn,wcrf_index_main,Smoking,Utdanning,colo_hemorrhoids,colo_IBD,antibiotics_reg_quest_comb	metaphlan	no_strat
SGB15031	detect_worthy_lesions	positive	0.6870052196801365	0.32385825406550955	0.03416336603879558	detect_worthy_lesionspositive	0.2515701073416611	1034	393	detect_worthy_lesions,Total_Reads_QC_ATLAS,senter,age_invitation,kjonn,wcrf_index_main,Smoking,Utdanning,colo_hemorrhoids,colo_IBD,antibiotics_reg_quest_comb	metaphlan	no_strat
SGB4614	detect_worthy_lesions	positive	-0.3802880132582733	0.18261810582368834	0.03758091412927572	detect_worthy_lesionspositive	0.2657714315530647	1034	205	detect_worthy_lesions,Total_Reads_QC_ATLAS,senter,age_invitation,kjonn,wcrf_index_main,Smoking,Utdanning,colo_hemorrhoids,colo_IBD,antibiotics_reg_quest_comb	metaphlan	no_strat
SGB15286	detect_worthy_lesions	positive	0.5532694157898473	0.2668985283853851	0.03845533264835862	detect_worthy_lesionspositive	0.26874385682757373	1034	903	detect_worthy_lesions,Total_Reads_QC_ATLAS,senter,age_invitation,kjonn,wcrf_index_main,Smoking,Utdanning,colo_hemorrhoids,colo_IBD,antibiotics_reg_quest_comb	metaphlan	no_strat
SGB4652	detect_worthy_lesions	positive	0.7209555895496623	0.34840823681397914	0.03879940401092949	detect_worthy_lesionspositive	0.2697610517327091	1034	537	detect_worthy_lesions,Total_Reads_QC_ATLAS,senter,age_invitation,kjonn,wcrf_index_main,Smoking,Utdanning,colo_hemorrhoids,colo_IBD,antibiotics_reg_quest_comb	metaphlan	no_strat
SGB15395	detect_worthy_lesions	positive	0.5542568165072271	0.2681376874743016	0.039008912406984515	detect_worthy_lesionspositive	0.27038530462488286	1034	325	detect_worthy_lesions,Total_Reads_QC_ATLAS,senter,age_invitation,kjonn,wcrf_index_main,Smoking,Utdanning,colo_hemorrhoids,colo_IBD,antibiotics_reg_quest_comb	metaphlan	no_strat
SGB15145	detect_worthy_lesions	positive	0.4763154988706923	0.23062053206811794	0.0391693441155188	detect_worthy_lesionspositive	0.27091944650721345	1034	378	detect_worthy_lesions,Total_Reads_QC_ATLAS,senter,age_invitation,kjonn,wcrf_index_main,Smoking,Utdanning,colo_hemorrhoids,colo_IBD,antibiotics_reg_quest_comb	metaphlan	no_strat
SGB15120	detect_worthy_lesions	positive	0.6584886575813154	0.31909374287500747	0.03933485601810692	detect_worthy_lesionspositive	0.2712135371542882	1034	501	detect_worthy_lesions,Total_Reads_QC_ATLAS,senter,age_invitation,kjonn,wcrf_index_main,Smoking,Utdanning,colo_hemorrhoids,colo_IBD,antibiotics_reg_quest_comb	metaphlan	no_strat
SGB4718	detect_worthy_lesions	positive	-0.44548936614970736	0.21628808064524283	0.03970896609769715	detect_worthy_lesionspositive	0.2727861282371357	1034	165	detect_worthy_lesions,Total_Reads_QC_ATLAS,senter,age_invitation,kjonn,wcrf_index_main,Smoking,Utdanning,colo_hemorrhoids,colo_IBD,antibiotics_reg_quest_comb	metaphlan	no_strat
SGB14980	detect_worthy_lesions	positive	0.4086189916225368	0.19882057642075587	0.04014134759324897	detect_worthy_lesionspositive	0.2753105844633179	1034	122	detect_worthy_lesions,Total_Reads_QC_ATLAS,senter,age_invitation,kjonn,wcrf_index_main,Smoking,Utdanning,colo_hemorrhoids,colo_IBD,antibiotics_reg_quest_comb	metaphlan	no_strat
SGB4770	detect_worthy_lesions	positive	0.5386402484568285	0.2644411097986852	0.0419470884291292	detect_worthy_lesionspositive	0.28212009003775007	1034	429	detect_worthy_lesions,Total_Reads_QC_ATLAS,senter,age_invitation,kjonn,wcrf_index_main,Smoking,Utdanning,colo_hemorrhoids,colo_IBD,antibiotics_reg_quest_comb	metaphlan	no_strat
